Occurrence;From;To;Sentiment;Index;Context
 Little tyke ,  chortled Mr. Dursley as he left the house .;Dursley;;-0.09375;20;0
 The Potters , that 's right , that 's what I heard - ;;;0.285714285714;56;1
 - yes , their son , Harry - ;;;0.0;57;1
 Sorry ,  he grunted , as the tiny old man stumbled and almost fell .;Dursley;;-0.133333333333;72;2
"On the contrary , his face split into a wide smile and he said in a squeaky voice that made passersby stare , "" Do n't be sorry , my dear sir , for nothing could upset me today ! Rejoice , for You-Know-Who has gone at last ! Even Muggles like yourself should be celebrating , this happy , happy day ! """;;You-Know-Who;0.229166666667;75;2
 Shoo !  said Mr. Dursley loudly .;Dursley;Dudley;0.1;85;3
 And finally , bird-watchers everywhere have reported that the nation 's owls have been behaving very unusually today . Although owls normally hunt at night and are hardly ever seen in daylight , there have been hundreds of sightings of these birds flying in every direction since sunrise . Experts are unable to explain why the owls have suddenly changed their sleeping pattern .  The newscaster allowed himself a grin .;;Dudley;-0.0636111111111;96;3
 Most mysterious . And now , over to Jim McGuffin with the weather . Going to be any more showers of owls tonight , Jim ? ;;Dudley;0.333333333333;97;3
" Well , Ted ,  said the weatherman , "" I do n't know about that , but it 's not only the owls that have been acting oddly today . Viewers as far apart as Kent , Yorkshire , and Dundee have been phoning in to tell me that instead of the rain I promised yesterday , they 've had a downpour of shooting stars ! Perhaps people have been celebrating Bonfire Night early - it 's not until next week , folks ! But I can promise a wet night tonight . """;;Dundee,Night;-0.00595238095238;98;3
 Er - Petunia , dear - you have n't heard from your sister lately , have you ? ;Dursley;;-0.3;108;4
 No ,  she said sharply .;Dursley;;-0.125;111;4
 Why ? ;Dursley;;0.0;112;4
 Funny stuff on the news ,  Mr. Dursley mumbled .;Dursley;;0.25;113;4
 Owls...shooting stars...and there were a lot of funny-looking people in town today ... ;Dursley;;0.0;114;4
 So ?  snapped Mrs. Dursley .;Dursley;;0.0;115;4
 Well , I just thought...maybe...it was something to do with...you know...her crowd . ;Dursley;;0.0;116;4
"Instead he said , as casually as he could , "" Their son - he 'd be about Dudley 's age now , would n't he ? """;Dursley;;-0.5;119;4
 I suppose so ,  said Mrs. Dursley stiffly .;Dursley;;-0.214285714286;120;4
 What 's his name again ? Howard , is n't it ? ;Dursley;;0.0;121;4
 Harry . Nasty , common name , if you ask me . ;Dursley;;-0.65;122;4
 Oh , yes ,  said Mr. Dursley , his heart sinking horribly .;Dursley;;-1.0;123;4
 Yes , I quite agree . ;Dursley;;0.0;124;4
"He chuckled and muttered , "" I should have known . """;Dumbledore;;0.0;152;5
 Fancy seeing you here , Professor McGonagall . ;Dumbledore;Fancy;0.0;162;6
 How did you know it was me ?  she asked .;McGonagall;Dumbledore,Dursley,Voldemort,Hagrid,Dudley;0.0;168;6
 My dear Professor , I 've never seen a cat sit so stiffly . ;Dumbledore;McGonagall,Dursley,Voldemort,Hagrid,Dudley;-0.214285714286;169;6
 You 'd be stiff if you 'd been sitting on a brick wall all day ,  said Professor McGonagall .;McGonagall;Dumbledore,Dursley,Voldemort,Hagrid,Dudley;-0.214285714286;170;6
 All day ? When you could have been celebrating ? I must have passed a dozen feasts and parties on my way here . ;Dumbledore;McGonagall,Dursley,Voldemort,Hagrid,Dudley;0.0;171;6
 Oh yes , I 've celebrating , all right ,  she said impatiently .;McGonagall;Dumbledore,Dursley,Voldemort,Hagrid,Dudley;0.0428571428571;173;6
 You 'd think they 'd be a bit more careful , but no - even the Muggles have noticed something 's going on . It was on their news .  She jerked her head back at the Dursleys ' dark living-room window .;Dumbledore;Muggle;0.0625;174;6
 I heard it . Flocks of owls...shooting stars...Well , they 're not completely stupid . They were bound to notice something . Shooting stars down in Kent - I 'll bet that was Dedalus Diggle . He never had much sense . ;McGonagall;Diggle;0.148148148148;175;6
 You ca n't blame them ,  said Dumbledore gently .;Dumbledore;McGonagall,Dursley,Voldemort,Hagrid,Dudley;0.2;176;6
 We 've had precious little to celebrate for eleven years . ;Dumbledore;Dumbledore,McGonagall,Dursley,Voldemort,Dudley;0.15625;177;6
 I know that ,  said Professor McGonagall irritably .;McGonagall;Dumbledore,Dursley,Voldemort,Hagrid,Dudley;0.0;178;6
 But that 's no reason to lose our heads . People are being downright careless , out on the streets in broad daylight , not even dressed in Muggle clothes , swapping rumors . ;McGonagall;McGonagall,Dursley,Voldemort,Hagrid,Dudley;-0.21875;179;6
 A fine thing it would be if , on the very day You-Know-Who seems to have disappeared at last , the Muggles found out about us all . I suppose he really has gone , Dumbledore ? ;McGonagall;Muggle;0.204166666667;181;6
 It certainly seems so ,  said Dumbledore .;Dumbledore;McGonagall,Dursley,Voldemort,Hagrid,Dudley;0.214285714286;182;6
 We have much to be thankful for . Would you care for a lemon drop ? ;Dumbledore;Dumbledore,Dursley,Voldemort,Hagrid,Dudley;0.2;183;6
 A what ? ;McGonagall;McGonagall,Dursley,Voldemort,Hagrid,Dudley;0.0;184;6
 A lemon drop . They 're a kind of Muggle sweet I 'm rather fond of . ;Dumbledore;Muggle;0.475;185;6
 No , thank you ,  said Professor McGonagall coldly , as though she did n't think this was the moment for lemon drops .;McGonagall;Dumbledore,Dursley,Voldemort,Hagrid,Dudley;-0.6;186;6
 As I say , even if You-Know-Who has gone - ;McGonagall;You-Know-Who;0.0;187;6
 My dear Professor , surely a sensible person like yourself can call him by his name ? All this ' You-Know-Who ' nonsense - for eleven years I have been trying to persuade people to call him by his proper name : Voldemort .  Professor McGonagall flinched , but Dumbledore , who was unsticking two lemon drops , seemed not to notice .;Dumbledore;Dumbledore,Dursley,Voldemort,Hagrid,Dudley;0.25;188;6
 It all gets so confusing if we keep saying ' You-Know-Who . ' I have never seen any reason to be frightened of saying Voldemort 's name . ;Dumbledore;Voldemort;-0.3;189;6
 I know you have n't , said Professor McGonagall , sounding half exasperated , half admiring .  But you 're different .;McGonagall;McGonagall;-0.111111111111;190;6
"You flatter me , "" said Dumbledore calmly .";Dumbledore;McGonagall,Dursley,Voldemort,Hagrid,Dudley;0.3;193;6
 Voldemort had powers I will never have . ;Dumbledore;Voldemort;0.0;194;6
 Only because you 're too - well - noble to use them . ;McGonagall;McGonagall,Dursley,Voldemort,Hagrid,Dudley;0.3;195;6
 It 's lucky it 's dark . I have n't blushed so much since Madam Pomfrey told me she liked my new earmuffs . ;Dumbledore;Pomfrey;0.223939393939;196;6
"Professor McGonagall shot a sharp look at Dumbledore and said "" The owls are nothing next to the rumors that are flying around . You know what they 're saying ? About why he 's disappeared ? About what finally stopped him ? """;McGonagall;Dumbledore,Dursley,Voldemort,Hagrid,Dudley;-0.0416666666667;197;6
" What they 're saying ,  she pressed on , "" is that last night Voldemort turned up in Godric 's Hollow . He went to find the Potters . The rumor is that Lily and James Potter are - are - that they 're - dead . """;McGonagall;Voldemort,Potter;-0.1;201;6
 Lily and James...I ca n't believe it...I did n't want to believe it...Oh , Albus ... ;McGonagall;Potter;0.0;204;6
 I know...I know ...  he said heavily .;Dumbledore;McGonagall,Dursley,Voldemort,Hagrid,Dudley;-0.2;206;6
 That 's not all . They 're saying he tried to kill the Potter 's son , Harry . But he could n't . He could n't kill that little boy . No one knows why , or how , but they 're saying that when he could n't kill Harry Potter , Voldemort 's power somehow broke - and that 's why he 's gone . ;McGonagall;Potter,Harry;-0.1875;208;6
 It 's - it 's true ?  faltered Professor McGonagall .;McGonagall;Dumbledore,Dursley,Voldemort,Hagrid,Dudley;0.35;210;6
 After all he 's done...all the people he 's killed...he could n't kill a little boy ? It 's just astounding...of all the things to stop him...but how in the name of heaven did Harry survive ? ;McGonagall;Harry;-0.1875;211;6
 We can only guess .  said Dumbledore .;Dumbledore;McGonagall,Dursley,Voldemort,Hagrid,Dudley;0.0;212;6
 We may never know . ;Dumbledore;Dumbledore,Dursley,Voldemort,Hagrid,Dudley;0.0;213;6
"It must have made sense to Dumbledore , though , because he put it back in his pocket and said , "" Hagrid 's late . I suppose it was he who told you I 'd be here , by the way ? """;Dumbledore;McGonagall,Dursley,Voldemort,Hagrid,Dudley;-0.15;218;6
 Yes ,  said Professor McGonagall .;McGonagall;Dumbledore,Dursley,Voldemort,Hagrid,Dudley;0.0;219;6
 And I do n't suppose you 're going to tell me why you 're here , of all places ? ;McGonagall;McGonagall,Dursley,Voldemort,Hagrid,Dudley;0.0;220;6
 I 've come to bring Harry to his aunt and uncle . They 're the only family he has left now . ;Dumbledore;Harry;0.0;221;6
 You do n't mean – you ca n't mean the people who live here ?  cried Professor McGonagall , jumping to her feet and pointing at number four .;McGonagall;Dumbledore,Dursley,Voldemort,Hagrid,Dudley;0.149621212121;222;6
 Dumbledore - you ca n't . I 've been watching them all day . You could n't find two people who are less like us . And they 've got this son - I saw him kicking his mother all the way up the street , screaming for sweets . Harry Potter come and live here ! ;McGonagall;Dumbledore,McGonagall,Dursley,Voldemort,Dudley;0.00189393939394;223;6
 It 's the best place for him ,  said Dumbledore firmly .;Dumbledore;McGonagall,Dursley,Voldemort,Hagrid,Dudley;0.4;224;6
 His aunt and uncle will be able to explain everything to him when he 's older . I 've written them a letter . ;Dumbledore;Dumbledore,McGonagall,Dursley,Voldemort,Dudley;0.333333333333;225;6
 A letter ?  repeated Professor McGonagall faintly , sitting back down on the wall .;McGonagall;Dumbledore,Dursley,Voldemort,Hagrid,Dudley;-0.218518518519;226;6
 Really , Dumbledore , you think you can explain all this in a letter ? These people will never understand him ! He 'll be famous - a legend - I would n't be surprised if today was known as Harry Potter day in the future - there will be books written about Harry - every child in our world will know his name ! ;McGonagall;Dumbledore,McGonagall,Dursley,Voldemort,Dudley;0.2125;227;6
 Exactly .  said Dumbledore , looking very seriously over the top of his half-moon glasses .;Dumbledore;McGonagall,Dursley,Voldemort,Hagrid,Dudley;0.105555555556;228;6
 It would be enough to turn any boy 's head . Famous before he can walk and talk ! Famous for something he wo n't even remember ! Can you see how much better off he 'll be , growing up away from all that until he 's ready to take it ? ;Dumbledore;Dumbledore,McGonagall,Dursley,Voldemort,Dudley;0.39;229;6
"Professor McGonagall opened her mouth , changed her mind , swallowed , and then said , "" Yes - yes , you 're right , of course . But how is the boy getting here , Dumbledore ? "" She eyed his cloak suddenly as though she thought he might be hiding Harry underneath it .";McGonagall;Dumbledore,Dursley,Voldemort,Hagrid,Dudley;0.142857142857;230;6
 Hagrid 's bringing him . ;Dumbledore;McGonagall,Dursley,Voldemort,Hagrid,Dudley;0.0;231;6
 You think it - wise - to trust Hagrid with something as important as this ? ;McGonagall;Hagrid;0.55;232;6
 I would trust Hagrid with my life ,  said Dumbledore .;Dumbledore;Hagrid;0.0;233;6
" I 'm not saying his heart is n't in the right place ,  said Professor McGonagall grudgingly , "" but you ca n't pretend he 's not careless . He does tend to - what was that ? """;McGonagall;Dumbledore,Dursley,Voldemort,Hagrid,Dudley;-0.0214285714286;234;6
 Hagrid ,  said Dumbledore , sounding relieved .;Dumbledore;McGonagall,Dursley,Voldemort,Hagrid,Dudley;0.0;241;6
