Occurrence;From;To;Sentiment;Index;Context
" Third time this week ! ";Dursleys;Third;0.0;6;0
he roared across the table . " If you ca n't control that owl , it 'll have to go ! ";Uncle;Dursleys,Harry,Petunia,Dudley;0.0;7;0
" She 's bored , " he said . " She 's used to flying around outside . If I could just let her out at night - ";Harry;Dursleys,Uncle,Petunia,Dudley;-0.25;9;0
" Do I look stupid ? ";Petunia;Dursleys,Harry,Uncle,Dudley;-0.8;10;0
snarled Uncle Vernon , a bit of fried egg dangling from his bushy mustache . " I know what 'll happen if that owl 's let out . ";Uncle;Dursleys,Harry,Petunia,Dudley;0.0;11;0
" I want more bacon . ";Harry;Dursleys,Uncle,Petunia,Dudley;0.5;14;0
" There 's more in the frying pan , sweetums , " said Aunt Petunia , turning misty eyes on her massive son . " We must build you up while we 've got the chance....I do n't like the sound of that school food ... ";Petunia;Dursleys,Harry,Uncle,Dudley;0.3;15;0
" Nonsense , Petunia , I never went hungry when I was at Smeltings , " said Uncle Vernon heartily . " Dudley gets enough , do n't you , son ? ";Uncle;Dudley;0.0;16;0
" Pass the frying pan . ";Harry;Dursleys,Uncle,Petunia,Dudley;0.0;18;0
" You 've forgotten the magic word , " said Harry irritably .;Dudley;Dursleys,Harry,Uncle,Petunia;0.5;19;0
" I meant ' please ' ! ";Uncle;Dursleys,Harry,Petunia,Dudley;0.0;21;0
said Harry quickly . " I did n't mean - ";Harry;Dursleys,Uncle,Petunia,Dudley;-0.3125;22;0
" WHAT HAVE I TOLD YOU , " thundered his uncle , spraying spit over the table , " ABOUT SAYING THE ' M ' WORD IN OUR HOUSE ? ";Uncle;Dursleys,Harry,Petunia,Dudley;0.0;23;0
" But I - ";Harry;Dursleys,Uncle,Petunia,Dudley;0.0;24;0
" HOW DARE YOU THREATEN DUDLEY ! ";Uncle;Dursleys,Harry,Petunia,Dudley;0.0;25;0
" I just - ";Harry;Dursleys,Uncle,Petunia,Dudley;0.0;27;0
" I WARNED YOU ! I WILL NOT TOLERATE MENTION OF YOUR ABNORMALITY UNDER THIS ROOF ! ";Uncle;Dursleys,Harry,Petunia,Dudley;0.0;28;0
" All right , " said Harry , " all right ... ";Harry;Dursleys,Uncle,Petunia,Dudley;0.285714285714;30;0
At that moment , Uncle Vernon cleared his throat importantly and said , " Now , as we all know , today is a very important day . ";Uncle;Aunt,Dudley,Harry,tonelessly,Vernon,Petunia;0.52;57;1
" This could well be the day I make the biggest deal of my career , " said Uncle Vernon .;Uncle;Aunt,Dudley,Harry,tonelessly,Vernon,Petunia;0.0;59;1
" I think we should run through the schedule one more time , " said Uncle Vernon . " We should all be in position at eight o'clock . Petunia , you will be - ? ";Uncle;Aunt,Dudley,Harry,tonelessly,Vernon,Petunia;0.5;64;1
" In the lounge , " said Aunt Petunia promptly , " waiting to welcome them graciously to our home . ";Aunt;Uncle,Dudley,Harry,tonelessly,Vernon,Petunia;0.8;65;1
" Good , good . And Dudley ? ";Uncle;Aunt,Dudley,Harry,tonelessly,Vernon,Petunia;0.65;66;1
" I 'll be waiting to open the door . ";Harry;Uncle,Aunt,Dudley,tonelessly,Vernon,Petunia;0.0;67;1
Dudley put on a foul , simpering smile . " May I take your coats , Mr. and Mrs. Mason ? ";Dudley;Uncle,Aunt,Harry,tonelessly,Vernon,Petunia;0.3;68;1
" They 'll love him ! ";Harry;Uncle,Aunt,Dudley,tonelessly,Vernon,Petunia;0.625;69;1
" Excellent , Dudley , " said Uncle Vernon .;Uncle;Aunt,Dudley,Harry,tonelessly,Vernon,Petunia;1.0;71;1
Then he rounded on Harry . " And you ? ";Harry;Uncle,Aunt,Dudley,tonelessly,Vernon,Petunia;0.0;72;1
" I 'll be in my bedroom , making no noise and pretending I 'm not there , " said Harry tonelessly .;tonelessly;Uncle,Aunt,Dudley,Harry,Vernon,Petunia;0.0;73;1
" Exactly , " said Uncle Vernon nastily . " I will lead them into the lounge , introduce you , Petunia , and pour them drinks . At eight-fifteen - ";Vernon;Uncle,Aunt,Dudley,Harry,tonelessly,Petunia;0.0;74;1
" I 'll announce dinner , " said Aunt Petunia .;Petunia;Uncle,Aunt,Dudley,Harry,tonelessly,Vernon;0.0;75;1
" And , Dudley , you 'll say - ";Uncle;Aunt,Dudley,Harry,tonelessly,Vernon,Petunia;0.0;76;1
" May I take you through to the dining room , Mrs. Mason ? ";Dudley;Uncle,Aunt,Harry,tonelessly,Vernon,Petunia;0.0;77;1
" My perfect little gentleman ! ";Harry;Uncle,Aunt,Dudley,tonelessly,Vernon,Petunia;0.3828125;79;1
" And you ? ";Uncle;Aunt,Dudley,Harry,tonelessly,Vernon,Petunia;0.0;81;1
" I 'll be in my room , making no noise and pretending I 'm not there , " said Harry dully .;Harry;Uncle,Aunt,Dudley,tonelessly,Vernon,Petunia;0.0;83;1
" Precisely . Now , we should aim to get in a few good compliments at dinner . Petunia , any ideas ? ";Uncle;Aunt,Dudley,Harry,tonelessly,Vernon,Petunia;0.225;84;1
" Vernon tells me you 're a wonderful golfer , Mr. Mason....Do tell me where you bought your dress , Mrs. Mason ... ";Harry;Vernon,Mr.;1.0;85;1
" Perfect...Dudley ? ";Uncle;Aunt,Dudley,Harry,tonelessly,Vernon,Petunia;0.0;86;1
" How about - ' We had to write an essay about our hero at school , Mr. Mason , and I wrote about you . ' ";Harry;Uncle,Aunt,Dudley,tonelessly,Vernon,Petunia;0.0;87;1
" And you , boy ? ";Uncle;Aunt,Dudley,Harry,tonelessly,Vernon,Petunia;0.0;90;1
" I 'll be in my room , making no noise and pretending I 'm not there , " he said .;Harry;Uncle,Aunt,Dudley,tonelessly,Vernon,Petunia;0.0;92;1
" Too right , you will . ";Dudley;Uncle,Aunt,Harry,tonelessly,Vernon,Petunia;0.285714285714;93;1
said Uncle Vernon forcefully . " The Masons do n't know anything about you and it 's going to stay that way . When dinner 's over , you take Mrs. Mason back to the lounge for coffee , Petunia , and I 'll bring the subject around to drills . With any luck , I 'll have the deal signed and sealed before the news at ten . be shopping for a vacation home in Majorca this time to morrow . ";Uncle;Mason;-0.0555555555556;94;1
" Right - I 'm off into town to pick up the dinner jackets for Dudley and me . And you , " he snarled at Harry . " You stay out of your aunt 's way while she 's cleaning . ";Harry;Uncle,Aunt,Dudley,tonelessly,Vernon,Petunia;0.285714285714;97;1
" Happy birthday to me...happy birthday to me ... ";Uncle;Aunt,Dudley,Harry,tonelessly,Vernon,Petunia;0.8;101;1
" I know what day it is , " sang Dudley , waddling toward him .;Dudley;Harry,coolly;0.0;124;2
" What ? ";Harry;Dudley,coolly;0.0;126;2
