Name 1;Length 1;Name 2;Length 2;Mentions;Paired
Greyjoy;90;Hal;13;1;False
Greyjoy;90;Theon;90;51;True
Greyjoy;90;eagerly;1;1;True
Greyjoy;90;Greatjon;41;2;False
Greyjoy;90;enough;10;1;False
Greyjoy;90;Cassel;34;2;False
Greyjoy;90;Mollen;23;5;False
Greyjoy;90;Lord;1013;2;False
Greyjoy;90;Jory;113;2;False
Farlen;3;Maester;301;1;False
Farlen;3;Luwin;165;1;False
Moon;37;even;11;2;False
Moon;37;Door;5;5;True
Moon;37;Brothers;16;13;True
Moon;37;Brother;12;3;False
Moon;37;farther;2;2;True
Tullys;25;Starks;62;1;False
Tullys;25;Lady;190;1;False
Tullys;25;Catelyn;606;1;False
Albett;7;Rast;16;1;False
Albett;7;Halder;45;2;False
Lannisters;129;Renly;124;1;False
Lannisters;129;Sansa;534;1;False
Lannisters;129;Ned;902;1;False
Lannisters;129;never;22;2;False
Lannisters;129;too;22;1;False
Lannisters;129;Lord;1013;1;False
Desmond;20;Tomard;23;2;False
Desmond;20;Tom;32;2;False
Isle;5;Dorne;20;2;True
Jhiqui;55;Doreah;49;1;False
Jhiqui;55;Irri;60;11;False
Jhiqui;55;that;28;2;False
Bold;7;Barristan;84;6;True
Bold;7;still;22;1;False
Tytos;13;Lord;1013;2;False
Tytos;13;Brax;6;1;False
Tytos;13;Blackwood;18;9;True
Payne;15;Podrick;3;2;True
Payne;15;Ilyn;31;12;True
Ranger;4;someday;1;1;True
Ranger;4;First;13;3;True
finally;12;Drogo;267;1;False
finally;12;Sansa;534;3;False
finally;12;Mordane;95;2;False
finally;12;Stark;432;2;False
finally;12;Brandon;64;1;False
finally;12;Catelyn;606;1;False
finally;12;Arya;607;2;False
finally;12;Robb;498;2;False
Crakehall;7;Lord;1013;2;False
Tyrion;749;aback;2;1;True
Tyrion;749;Jaime;164;1;False
Tyrion;749;just;12;1;False
Tyrion;749;that;28;1;False
Tyrion;749;almost;9;3;False
Tyrion;749;barely;3;1;False
Tyrion;749;soon;2;1;True
Tyrion;749;here;6;2;False
Tyrion;749;mightily;2;2;True
Tyrion;749;Imp;36;4;False
Tyrion;749;Lannister;344;98;False
Tyrion;749;tightly;1;1;True
Tyrion;749;suspiciously;1;1;True
Tyrion;749;Lord;1013;1;False
Tyrion;749;truly;2;1;True
Tyrion;749;suddenly;1;1;True
