Node;Degree
;0
Greyjoy;40
Farlen;1
Moon;1
Albett;6
Desmond;9
Pride;1
Jhiqui;17
Sheepskins;3
Payne;2
Ranger;1
finally;22
Crakehall;1
Tyrion;104
Margaery;1
Petyr;20
I'd;22
Flement;9
brother;4
Jeren;6
Hornwood;1
Jon;80
Gods;25
Baelor;3
Crown;2
Stone;11
Long;1
Rast;5
Gate;7
Rhaggat;1
Robb;73
Head;1
Jhogo;15
Torrhen;5
Lyanna;18
Vance;17
Light;1
Age;1
never;11
Redwyne;3
Arthur;10
Glover;21
Sansa;55
Dolf;2
Dead;1
Waynwood;8
Conn;12
Rudge;1
Mountain;10
Wendel;11
Justice;1
Robert;74
Hullen;9
Quent;5
Tom;32
khal;11
Qotho;12
They'd;2
Ogo;1
Warden;5
Cities;16
Chett;9
Piggy;2
Pentos;1
Bran;77
Cayn;5
Gared;9
Valyria;2
Crows;2
Stannis;7
Jeyne;23
Clydas;11
Matthar;8
Lord;150
Aegon;7
Arryn;20
Pyp;24
Magister;3
Lion;2
Mallister;5
Mycah;4
Oswell;10
Lysa;39
instead;1
Naerys;1
Heartsbane;1
Pycelle;32
Arys;8
Dothraki;23
Chella;11
Timett;10
Syrio;19
Arya;60
Myrcella;7
Addam;10
Drogo;27
Yohn;7
Dornishman;1
Clegane;28
Umar;10
Dywen;12
Aemon;7
Horse;1
Bottom;0
Yoren;14
Brynden;36
White;2
still;2
Aron;2
Landing;9
Pate;1
Rhaego;3
troubled;3
Grace;16
Mercy;1
Noye;11
Kevan;29
Varys;52
Cat;5
Kurleket;10
kiss;1
Mother;7
Tower;3
day;1
Jory;40
Jaremy;21
Summer;4
Sam;29
always;1
Eddard;1
Walder;3
Goose;1
nicely;1
Mormont;53
Harwin;10
Danwell;1
Tobho;5
Weasels;1
Moro;1
Shepherd;3
Alyn;20
Loras;16
Edmure;12
Mirri;14
Hound;24
Qos;1
Rhaegar;7
Morrec;1
Cersei;30
Dickon;2
Perwyn;1
Frost;4
Hugh;1
Stark;63
Imp;14
Black;19
Stiv;4
North;2
Jorah;42
Vale;6
Selmy;6
Uncle;1
eyes;4
Neck;3
that;1
Aggo;12
Bolton;12
Love;1
Sea;3
Endrew;1
Jhaqo;4
Theon;16
Tregar;1
Grand;3
Father;38
He'd;1
Lance;1
Oil;0
Gemstones;2
Chiggen;4
Rider;3
Lannister;69
Joffrey;49
Hall;9
Riverrun;14
Meat;1
Gendry;10
Knight;9
Wyl;13
Benjen;14
Lands;1
Mole;1
High;8
Hal;15
Ham;1
Barra;1
Raymun;7
earth;10
Dorne;1
Wildling;1
Waymar;5
Frey;16
Mollen;12
Robar;1
Harrenhal;3
long-dead;3
Asshai;1
Marillion;17
Stories;1
Hosteen;1
Tyrell;2
Tywin;1
Lefford;10
anxiously;4
Littlefinger;58
Aurochs;2
Tallhart;15
Donnel;11
Rhaenys;1
Masha;5
Shaggydog;7
away;1
Irri;21
Cregan;1
Mohor;9
King;56
Slynt;18
Dany;39
Bronn;33
Winterfell;30
Honor;1
Haggo;7
Ransoms;1
Resolute;7
Cheyk;11
Othell;8
Moreo;6
Chataya;1
Willis;10
Girls;2
Snow;12
Greatjon;23
Rodrik;47
councillor;7
Tyrosh;4
Denys;2
Brothers;10
Buu;1
Osha;12
Coratt;1
Flowers;14
Women;5
direction;1
Peace;1
She'd;1
Olyvar;1
Halder;16
Night;21
Doreah;13
Gunthor;4
Old;32
Commander;13
Grenn;25
Hodor;15
Market;1
Luwin;19
Renly;21
Gregor;13
Nan;19
Wood;1
stubbornly;9
Illyrio;16
Cohollo;13
Merryl;1
Blood;20
Rickon;11
moment;21
Dread;6
Iron;1
Nymeria;13
Eroeh;4
Andal;2
Port;1
Heward;3
Marsh;22
Merrett;1
Lharys;5
Othor;1
Trident;5
Hobb;2
Mago;2
Redfort;2
Alliser;28
Shagga;18
Wine;1
Lords;3
Stevron;17
Cailin;5
Catelyn;97
Mya;10
Prince;14
Usurper;5
Pray;2
Ned;125
Vardis;15
Marq;28
Life;1
Mance;6
Tully;18
Fire;11
Andals;3
Quaro;6
Braavos;3
Preparations;1
Rickard;1
Royce;12
Pact;3
Boy;1
Maekar;1
Rock;12
Jaime;31
Rakharo;6
First;1
Hoster;1
sister;2
You'd;2
Jyck;4
Pono;1
Captain;3
Targaryen;18
Young;2
son;1
promise;1
Shae;6
lesson;7
Aerys;6
Harys;11
Serrett;80
van;1
Eyrie;8
only;1
Lannisport;1
Mordane;37
Ulf;4
Beth;6
Gold;1
House;16
Dragonstone;1
Gerold;14
certain;1
Ice;8
Twins;5
Daenerys;6
Gueren;1
Marches;1
Boros;16
other;4
Lady;15
Barristan;10
time;7
keepin;1
meaning;3
Dragon;2
Viserys;25
rightful;1
Maester;88
Balerion;1
Dareon;16
Street;1
Frank;1
Mikken;5
once;1
