Occurrence;From;To;Sentiment;Index;Context
" We should start back , " Gared urged as the woods began to grow dark around them .;Gared,the woods,;We,;-0.075;2;0
" The wildlings are dead . ";;The wildlings,;-0.2;3;0
" Do the dead frighten you ? ";;the dead frighten you,;-0.2;4;0
He was an old man , past fifty , and he had seen the lordlings come and go . " Dead is dead , " he said . " We have no business with the dead . ";He,he,the lordlings,he,;Dead,We,no business,;-0.15;7;0
" Are they dead ? ";;they,;-0.2;8;0
Royce asked softly . " What proof have we ? ";Royce,;proof,we,;0.0;9;0
" Will saw them , " Gared said . " If he says they are dead , that 's proof enough for me . ";Gared,;them,he,they,they,proof,;-0.1;10;0
He wished it had been later rather than sooner . " My mother told me that dead men sing no songs , " he put in .;He,it,he,;My mother,me,dead men,me,dead men,no songs,;-0.1;12;0
" My wet nurse said the same thing , Will , " Royce replied . " Never believe anything you hear at a woman 's tit . There are things to be learned even from the dead . ";Royce,;My wet nurse,the same thing,you,you,things,;-0.1;13;0
" We have a long ride before us , " Gared pointed out . " Eight days , maybe nine . And night is falling . ";Gared,;We,a long ride,night,;-0.05;15;0
Ser Waymar Royce glanced at the sky with disinterest . " It does that every day about this time . Are you unmanned by the dark , Gared ? ";Ser Waymar Royce,;It,you,;-0.15;16;0
His cloak was his crowning glory ; sable , thick and black and soft as sin . " Bet he killed them all himself , he did , " Gared told the barracks over wine , " twisted their little heads off , our mighty warrior . ";His cloak,Gared,;Bet he,he,them all himself,their little heads,;-0.109027777778;44;1
" Mormont said as we should track them , and we did , " Gared said . " They 're dead . They sha n't trouble us no more . There 's hard riding before us . I do n't like this weather . If it snows , we could be a fortnight getting back , and snow 's the best we can hope for . Ever seen an ice storm , my lord ? ";Gared,;Mormont,we,we,them,They,They,I,it,we,a fortnight,snow,the best we,us,hard riding,a fortnight,the best we,an ice storm,;0.201666666667;48;1
Will had ridden with the knight long enough to understand that it was best not to interrupt him when he looked like that . " Tell me again what you saw , Will . All the details . Leave nothing out . ";it,he,;you,me,nothing,;0.316666666667;51;1
" The camp is two miles farther on , over that ridge , hard beside a stream , " Will said . " I got close as I dared . There 's eight of them , men and women both . No children I could see . They put up a lean-to against the rock . The snow 's pretty well covered it now , but I could still make it out . No fire burning , but the firepit was still plain as day . No one moving . I watched a long time . No living man ever lay so still . ";;The camp,two miles,I,I,No children I,They,I,No fire,the firepit,I,No living man,it,it,a long time,;-0.0764880952381;56;1
" Did you see any blood ? ";;you,you,any blood,;0.0;57;1
" Well , no , " Will admitted .;;;0.0;58;1
" Did you see any weapons ? ";;you,you,any weapons,;0.0;59;1
" Some swords , a few bows . One man had an axe . Heavy-looking , double-bladed , a cruel piece of iron . It was on the ground beside him , right by his hand . ";;One man,It,an axe,;-0.304761904762;60;1
" Did you make note of the position of the bodies ? ";;you,you,note,;0.0;61;1
Will shrugged . " A couple are sitting up against the rock . Most of them on the ground . Fallen , like . ";;A couple,them,the ground,;0.5;62;1
" Or sleeping , " Royce suggested .;Royce,;;0.0;63;1
" Fallen , " Will insisted . " There 's one woman up an ironwood , half-hid in the branches . A far-eyes . ";;one woman,;0.0;64;1
He smiled thinly . " I took care she never saw me . When I got closer , I saw that she was n't moving neither . ";He,;I,care she,I,I,she,care she,me,;0.6;65;1
" You have a chill ? ";;You,a chill,;0.0;67;1
" Some , " Will muttered . " The wind , m'lord . ";;;0.0;69;1
Frost-fallen leaves whispered past them , and Royce 's destrier moved restlessly . " What do you think might have killed these men , Gared ? ";Frost-fallen,;you,you,these men,;-0.25;71;1
" It was the cold , " Gared said with iron certainty . " I saw men freeze last winter , and the one before , when I was half a boy . Everyone talks about snows forty foot deep , and how the ice wind comes howling out of the north , but the real enemy is the cold . It steals up on you quieter than Will , and at first you shiver and your teeth chatter and you stamp your feet and dream of mulled wine and nice hot fires . It burns , it does . Nothing burns like the cold . But only for a while . Then it gets inside you and starts to fill you up , and after a while you do n't have the strength to fight it . It 's easier just to sit down or go to sleep . They say you do n't feel any pain toward the end . First you go weak and drowsy , and everything starts to fade , and then it 's like sinking into a sea of warm milk . Peaceful , like . ";Gared,;It,the cold,I,men,I,the ice wind,the real enemy,It,first you,your teeth,you,It,it,it,you,a while you,It,They,you,First you,everything,it,men,last winter,a boy,the cold,your feet and dream,wine and nice hot fires,you,the strength,it,you,any pain,;-0.0123263888889;74;1
" Such eloquence , Gared , " Ser Waymar observed . " I never suspected you had it in you . ";Ser Waymar,;I,you,it,you,it,you,;0.0;75;1
" I 've had the cold in me too , lordling . ";;I,the cold,;-0.6;76;1
Gared pulled back his hood , giving Ser Waymar a good long look at the stumps where his ears had been . " Two ears , three toes , and the little finger off my left hand . I got off light . We found my brother frozen at his watch , with a smile on his face . ";Gared,his ears,;my,I,We,my brother,hand,off light,my brother,his watch,;0.158928571429;77;1
Ser Waymar shrugged . " You ought dress more warmly , Gared . ";Ser Waymar,;You,;0.5;78;1
Gared glared at the lordling , the scars around his ear holes flushed red with anger where Maester Aemon had cut the ears away . " We 'll see how warm you can dress when the winter comes . ";Gared,his ear holes,Maester Aemon,;We,warm you,;-0.0333333333333;79;1
" If Gared said it was the cold ... ";;Gared,it,it,;-0.6;81;1
" Have you drawn any watches this past week , Will ? ";;you,you,this past week,;-0.25;83;1
" Yes , m'lord . ";;;0.0;84;1
" And how did you find the Wall ? ";;you,you,the Wall,;0.0;87;1
" Weeping , " Will said , frowning .;;;0.0;88;1
He saw it clear enough , now that the lordling had pointed it out . " They could n't have froze . Not if the Wall was weeping . It was n't cold enough . ";He,;They,the Wall,It,;-0.125;89;1
Royce nodded . " Bright lad . We 've had a few light frosts this past week , and a quick flurry of snow now and then , but surely no cold fierce enough to kill eight grown men . Men clad in fur and leather , let me remind you , with shelter near at hand , and the means of making fire . ";Royce,;We,a few light,Men,me,a few light,this past week,men,in fur,me,you,fire,;0.0604166666667;90;1
The knight 's smile was cocksure . " Will , lead us there . I would see these dead men for myself . ";smile,;I,us,these dead men,;0.05;91;1
" We can make a better pace than this , surely , " Royce said when the moon was full risen .;Royce,the moon,;We,a better pace,;0.425;105;2
" Not with this horse , " Will said .;;;0.0;106;2
Fear had made him insolent . " Perhaps my lord would care to take the lead ? ";Fear,;my lord,;0.0;107;2
" Why are you stopping ? ";;you,you,;0.0;111;2
" Best go the rest of the way on foot , m'lord . It 's just over that ridge . ";;It,the rest,;1.0;113;2
" There 's something wrong here , " Gared muttered .;Gared,;something,;-0.5;117;2
The young knight gave him a disdainful smile . " Is there ? ";The young knight,;;0.2;118;2
" Ca n't you feel it ? ";;you,it,;0.0;119;2
Gared asked . " Listen to the darkness . ";Gared,;;0.0;120;2
" Wind . Trees rustling . A wolf . Which sound is it that unmans you so , Gared ? ";;it,it,unmans you,;0.4;124;2
" The trees press close here , " Will warned . " That sword will tangle you up , m'lord . Better a knife . ";;The trees,close,That sword,you,you,;0.5;130;2
" If I need instruction , I will ask for it , " the young lord said . " Gared , stay here . Guard the horses . ";the young lord,;I,I,instruction,;0.1;131;2
Gared dismounted . " We need a fire . I 'll see to it . ";Gared,;We,I,a fire,;0.0;132;2
" How big a fool are you , old man ? If there are enemies in this wood , a fire is the last thing we want . ";;a fool,a fire,the last thing we,a fool,you,enemies,the last thing we,;0.0333333333333;133;2
" There 's some enemies a fire will keep away , " Gared said . " Bears and direwolves and ... and other things ... ";Gared,;a fire,a fire,;-0.125;134;2
Ser Waymar 's mouth became a hard line . " No fire . ";mouth,Ser Waymar,;;-0.291666666667;135;2
Finally Gared looked down . " No fire , " he muttered , low under his breath .;Gared,he,;;-0.0777777777778;139;2
Royce took it for acquiescence and turned away . " Lead on , " he said to Will .;Royce,he,;;0.0;140;2
" Gods ! ";;;0.0;153;3
" Get down ! ";;;-0.194444444444;157;3
Will whispered urgently . " Something 's wrong . ";;;-0.5;158;3
He looked down at the empty clearing and laughed . " Your dead men seem to have moved camp , Will . ";He,;Your dead men,camp,;0.0611111111111;160;3
" On your feet , Will , " Ser Waymar commanded . " There 's no one here . I wo n't have you hiding under a bush . ";Ser Waymar,;I,you,you,;0.0;167;4
Ser Waymar looked him over with open disapproval . " I am not going back to Castle Black a failure on my first ranging . We will find these men . ";Ser Waymar,him,;I,We,these men,;0.0208333333333;169;4
He glanced around . " Up the tree . Be quick about it . Look for a fire . ";He,;;0.333333333333;170;4
Down below , the lordling called out suddenly , " Who goes there ? ";;;-0.155555555556;181;5
" Will , where are you ? ";;you,;0.0;195;6
Ser Waymar called up . " Can you see anything ? ";Ser Waymar,;you,you,anything,;0.0;196;6
There was nothing to see . " Answer me ! Why is it so cold ? ";;it,;-0.6;199;6
Will heard the breath go out of Ser Waymar Royce in a long hiss . " Come no farther , " the lordling warned .;of Ser Waymar Royce,;;-0.05;209;7
Ser Waymar met him bravely . " Dance with me then . ";Ser Waymar,;;0.0;218;8
Ser Waymar Royce found his fury . " For Robert ! ";Ser Waymar Royce,;;0.0;253;9
Lord Eddard Stark dismounted and his ward Theon Greyjoy brought forth the sword . " Ice , " that sword was called .;Lord Eddard Stark,his ward Theon Greyjoy,that sword,;;-0.2;317;10
