Occurrence;From;To;Sentiment;Index;Context
" We should start back , " Gared urged as the woods began to grow dark around them .;Gared;Serrett,Royce,;-0.075;2;0
" The wildlings are dead . ";Royce;Gared,Serrett,;-0.2;3;0
" Do the dead frighten you ? ";Serrett;Gared,Royce,;-0.2;4;0
He was an old man , past fifty , and he had seen the lordlings come and go . " Dead is dead , " he said . " We have no business with the dead . ";Gared;Dead,;-0.15;7;0
" Are they dead ? ";Serrett;Gared,Royce,;-0.2;8;0
Royce asked softly . " What proof have we ? ";Royce;Gared,Serrett,;0.0;9;0
" Will saw them , " Gared said . " If he says they are dead , that 's proof enough for me . ";Gared;Serrett,Royce,;-0.1;10;0
He wished it had been later rather than sooner . " My mother told me that dead men sing no songs , " he put in .;Serrett;Gared,Royce,;-0.1;12;0
" My wet nurse said the same thing , Will , " Royce replied . " Never believe anything you hear at a woman 's tit . There are things to be learned even from the dead . ";Royce;Gared,Serrett,;-0.1;13;0
" We have a long ride before us , " Gared pointed out . " Eight days , maybe nine . And night is falling . ";Gared;Serrett,Royce,;-0.05;15;0
Ser Waymar Royce glanced at the sky with disinterest . " It does that every day about this time . Are you unmanned by the dark , Gared ? ";Serrett;Gared,Royce,;-0.15;16;0
His cloak was his crowning glory ; sable , thick and black and soft as sin . " Bet he killed them all himself , he did , " Gared told the barracks over wine , " twisted their little heads off , our mighty warrior . ";Gared;Mallister,Royce,Frost,Waymar,;-0.109027777778;44;1
" Mormont said as we should track them , and we did , " Gared said . " They 're dead . They sha n't trouble us no more . There 's hard riding before us . I do n't like this weather . If it snows , we could be a fortnight getting back , and snow 's the best we can hope for . Ever seen an ice storm , my lord ? ";Gared;Mormont,;0.201666666667;48;1
Will had ridden with the knight long enough to understand that it was best not to interrupt him when he looked like that . " Tell me again what you saw , Will . All the details . Leave nothing out . ";Royce;Gared,Mallister,Frost,Waymar,;0.316666666667;51;1
" The camp is two miles farther on , over that ridge , hard beside a stream , " Will said . " I got close as I dared . There 's eight of them , men and women both . No children I could see . They put up a lean-to against the rock . The snow 's pretty well covered it now , but I could still make it out . No fire burning , but the firepit was still plain as day . No one moving . I watched a long time . No living man ever lay so still . ";Mallister;Gared,Royce,Frost,Waymar,;-0.0764880952381;56;1
" Did you see any blood ? ";Gared;Mallister,Royce,Frost,Waymar,;0.0;57;1
" Well , no , " Will admitted .;Royce;Gared,Mallister,Frost,Waymar,;0.0;58;1
" Did you see any weapons ? ";Gared;Mallister,Royce,Frost,Waymar,;0.0;59;1
" Some swords , a few bows . One man had an axe . Heavy-looking , double-bladed , a cruel piece of iron . It was on the ground beside him , right by his hand . ";Royce;Gared,Mallister,Frost,Waymar,;-0.304761904762;60;1
" Did you make note of the position of the bodies ? ";Gared;Mallister,Royce,Frost,Waymar,;0.0;61;1
Will shrugged . " A couple are sitting up against the rock . Most of them on the ground . Fallen , like . ";Waymar;Gared,Mallister,Royce,Frost,;0.5;62;1
" Or sleeping , " Royce suggested .;Royce;Gared,Mallister,Frost,Waymar,;0.0;63;1
" Fallen , " Will insisted . " There 's one woman up an ironwood , half-hid in the branches . A far-eyes . ";Gared;Mallister,Royce,Frost,Waymar,;0.0;64;1
He smiled thinly . " I took care she never saw me . When I got closer , I saw that she was n't moving neither . ";Waymar;Gared,Mallister,Royce,Frost,;0.6;65;1
" You have a chill ? ";Royce;Gared,Mallister,Frost,Waymar,;0.0;67;1
" Some , " Will muttered . " The wind , m'lord . ";Gared;Mallister,Royce,Frost,Waymar,;0.0;69;1
Frost-fallen leaves whispered past them , and Royce 's destrier moved restlessly . " What do you think might have killed these men , Gared ? ";Frost;Gared,Mallister,Royce,Waymar,;-0.25;71;1
" It was the cold , " Gared said with iron certainty . " I saw men freeze last winter , and the one before , when I was half a boy . Everyone talks about snows forty foot deep , and how the ice wind comes howling out of the north , but the real enemy is the cold . It steals up on you quieter than Will , and at first you shiver and your teeth chatter and you stamp your feet and dream of mulled wine and nice hot fires . It burns , it does . Nothing burns like the cold . But only for a while . Then it gets inside you and starts to fill you up , and after a while you do n't have the strength to fight it . It 's easier just to sit down or go to sleep . They say you do n't feel any pain toward the end . First you go weak and drowsy , and everything starts to fade , and then it 's like sinking into a sea of warm milk . Peaceful , like . ";Gared;Mallister,Royce,Frost,Waymar,;-0.0123263888889;74;1
" Such eloquence , Gared , " Ser Waymar observed . " I never suspected you had it in you . ";Waymar;Gared,Mallister,Royce,Frost,;0.0;75;1
" I 've had the cold in me too , lordling . ";Royce;Gared,Mallister,Frost,Waymar,;-0.6;76;1
Gared pulled back his hood , giving Ser Waymar a good long look at the stumps where his ears had been . " Two ears , three toes , and the little finger off my left hand . I got off light . We found my brother frozen at his watch , with a smile on his face . ";Gared;Mallister,Royce,Frost,Waymar,;0.158928571429;77;1
Ser Waymar shrugged . " You ought dress more warmly , Gared . ";Waymar;Gared,Mallister,Royce,Frost,;0.5;78;1
Gared glared at the lordling , the scars around his ear holes flushed red with anger where Maester Aemon had cut the ears away . " We 'll see how warm you can dress when the winter comes . ";Gared;Mallister,Royce,Frost,Waymar,;-0.0333333333333;79;1
" If Gared said it was the cold ... ";Royce;Gared,;-0.6;81;1
" Have you drawn any watches this past week , Will ? ";Gared;Mallister,Royce,Frost,Waymar,;-0.25;83;1
" Yes , m'lord . ";Royce;Gared,Mallister,Frost,Waymar,;0.0;84;1
" And how did you find the Wall ? ";Gared;King,;0.0;87;1
" Weeping , " Will said , frowning .;Royce;Gared,Mallister,Frost,Waymar,;0.0;88;1
He saw it clear enough , now that the lordling had pointed it out . " They could n't have froze . Not if the Wall was weeping . It was n't cold enough . ";Gared;King,;-0.125;89;1
Royce nodded . " Bright lad . We 've had a few light frosts this past week , and a quick flurry of snow now and then , but surely no cold fierce enough to kill eight grown men . Men clad in fur and leather , let me remind you , with shelter near at hand , and the means of making fire . ";Royce;Gared,Mallister,Frost,Waymar,;0.0604166666667;90;1
The knight 's smile was cocksure . " Will , lead us there . I would see these dead men for myself . ";Gared;Mallister,Royce,Frost,Waymar,;0.05;91;1
" We can make a better pace than this , surely , " Royce said when the moon was full risen .;Royce;Serrett,Gared,Waymar,;0.425;105;2
" Not with this horse , " Will said .;Gared;Royce,Serrett,Waymar,;0.0;106;2
Fear had made him insolent . " Perhaps my lord would care to take the lead ? ";Serrett;Royce,Gared,Waymar,;0.0;107;2
" Why are you stopping ? ";Gared;Royce,Serrett,Waymar,;0.0;111;2
