Dialog #;Spacing (#Lines between two lines)
2;0
3;1
4;1
7;3
8;1
9;1
10;1
12;2
13;1
15;2
16;1
44;28
48;4
51;3
56;5
57;1
58;1
59;1
60;1
61;1
62;1
63;1
64;1
65;1
67;2
69;2
71;2
74;3
75;1
76;1
77;1
78;1
79;1
81;2
83;2
84;1
87;3
88;1
89;1
90;1
91;1
105;14
106;1
107;1
111;4
113;2
117;4
118;1
119;1
120;1
124;4
130;6
131;1
132;1
133;1
134;1
135;1
139;4
140;1
153;13
157;4
158;1
160;2
167;7
169;2
170;1
181;11
195;14
196;1
199;3
209;10
218;9
253;35
317;0
322;5
324;2
335;11
336;1
340;4
341;1
342;1
346;4
347;1
354;7
356;2
358;2
359;1
361;2
362;1
363;1
364;1
365;1
366;1
367;1
369;2
371;2
372;1
382;10
384;2
386;2
390;4
392;2
393;1
400;7
401;1
402;1
408;6
409;1
410;1
413;3
414;1
415;1
417;2
418;1
425;7
427;2
428;1
429;1
431;2
432;1
433;1
434;1
435;1
436;1
437;1
438;1
439;1
440;1
443;3
444;1
445;1
447;2
448;1
449;1
455;6
457;2
459;2
460;1
462;2
465;3
466;1
467;1
468;1
469;1
470;1
475;5
477;2
479;2
483;4
484;1
488;4
489;1
512;0
523;11
524;1
525;1
526;1
528;2
529;1
531;2
532;1
533;1
541;8
543;2
544;1
550;6
551;1
552;1
554;2
555;1
556;1
558;2
559;1
561;2
562;1
563;1
564;1
565;1
566;1
571;5
572;1
573;1
574;1
575;1
576;1
577;1
578;1
579;1
580;1
581;1
585;4
586;1
587;1
588;1
589;1
590;1
593;3
594;1
595;1
596;1
597;1
602;0
607;5
608;1
609;1
612;3
613;1
616;3
617;1
624;7
625;1
626;1
627;1
628;1
629;1
631;2
632;1
633;1
641;8
643;2
665;22
676;11
678;2
679;1
682;3
694;12
696;2
709;13
714;5
715;1
718;3
719;1
720;1
723;3
724;1
726;2
727;1
728;1
729;1
736;7
737;1
738;1
739;1
740;1
742;2
743;1
748;5
754;6
755;1
756;1
765;9
772;7
773;1
774;1
775;1
776;1
778;2
779;1
784;5
791;7
792;1
795;3
796;1
799;3
800;1
801;1
802;1
807;5
810;3
811;1
815;4
826;0
827;1
837;10
843;6
853;10
854;1
855;1
856;1
857;1
858;1
860;2
861;1
862;1
863;1
864;1
865;1
871;6
875;4
891;16
905;14
907;2
908;1
909;1
910;1
911;1
920;9
921;1
922;1
923;1
928;5
930;2
931;1
932;1
933;1
934;1
935;1
936;1
937;1
938;1
940;2
941;1
942;1
943;1
944;1
945;1
946;1
948;2
949;1
952;3
953;1
954;1
955;1
957;2
960;3
961;1
962;1
964;2
965;1
966;1
967;1
969;2
970;1
971;1
972;1
973;1
981;8
982;1
983;1
984;1
985;1
989;4
990;1
991;1
992;1
993;1
994;1
995;1
996;1
997;1
998;1
1056;0
1072;16
1098;26
1100;2
1102;2
1104;2
1111;7
1112;1
1113;1
1114;1
1115;1
1116;1
1117;1
1124;7
1125;1
1126;1
1127;1
1128;1
1129;1
1130;1
1131;1
1133;2
1135;2
1136;1
1137;1
1139;2
1145;6
1146;1
1147;1
1148;1
1150;2
1151;1
1152;1
1153;1
1154;1
1159;5
1176;17
1179;3
1180;1
1181;1
1182;1
1183;1
1184;1
1188;4
1189;1
1190;1
1191;1
1193;2
1194;1
1195;1
1196;1
1197;1
1199;2
1200;1
1201;1
1205;4
1208;3
1209;1
1210;1
1211;1
1212;1
1213;1
1215;2
1216;1
1217;1
1218;1
1219;1
1220;1
1221;1
1222;1
1223;1
1249;0
1251;2
1252;1
1253;1
1254;1
1255;1
1257;2
1258;1
1260;2
1261;1
1262;1
1263;1
1264;1
1265;1
1266;1
1267;1
1273;6
1274;1
1275;1
1276;1
1277;1
1280;3
1290;10
1291;1
1292;1
1293;1
1295;2
1297;2
1298;1
1299;1
1300;1
1302;2
1303;1
1304;1
1305;1
1306;1
1311;5
1313;2
1314;1
1317;3
1318;1
1319;1
1323;4
1324;1
1325;1
1326;1
1327;1
1328;1
1332;4
1334;2
1336;2
1337;1
1340;3
1341;1
1342;1
1343;1
1344;1
1345;1
1347;2
1348;1
1349;1
1350;1
1351;1
1352;1
1355;3
1356;1
1360;4
1361;1
1362;1
1363;1
1364;1
1367;3
1368;1
1369;1
1371;2
1372;1
1373;1
1374;1
1378;4
1379;1
1385;6
1386;1
1387;1
1400;13
1408;8
1415;7
1416;1
1417;1
1420;3
1421;1
1422;1
1423;1
1425;2
1426;1
1435;9
1436;1
1437;1
1438;1
1442;4
1443;1
1445;2
1452;0
1453;1
1462;9
1468;6
1471;3
1477;6
1478;1
1479;1
1482;3
1483;1
1484;1
1485;1
1486;1
1490;4
1491;1
1492;1
1493;1
1494;1
1496;2
1498;2
1499;1
1506;7
1509;3
1511;2
1513;2
1544;31
1552;8
1560;8
1561;1
1562;1
1571;9
1572;1
1581;9
1583;2
1584;1
1587;3
1588;1
1590;2
1594;4
1599;5
1604;5
1605;1
1607;2
1608;1
1609;1
1610;1
1616;6
1618;2
1619;1
1620;1
1623;3
1624;1
1625;1
1626;1
1627;1
1629;2
1630;1
1632;2
1633;1
1634;1
1635;1
1636;1
1637;1
1640;3
1641;1
1642;1
1643;1
1646;3
1647;1
1648;1
1654;6
1660;6
1662;2
1663;1
1664;1
1665;1
1718;0
1735;17
1743;8
1770;27
1778;8
1811;33
1812;1
1813;1
1816;3
1817;1
1818;1
1819;1
1820;1
1825;5
1826;1
1827;1
1828;1
1829;1
1830;1
1836;6
1837;1
1838;1
1839;1
1840;1
1841;1
1843;2
1844;1
1845;1
1846;1
1847;1
1853;6
1854;1
1855;1
1856;1
1862;6
1863;1
1869;6
1882;13
1905;23
1906;1
1910;4
1912;2
1916;4
1917;1
1920;3
1942;0
1943;1
1949;6
1950;1
1951;1
1955;4
1956;1
1957;1
1959;2
1960;1
1962;2
1963;1
1964;1
1965;1
1966;1
1967;1
1968;1
1971;3
1972;1
1976;4
1986;10
1988;2
1989;1
1990;1
1991;1
1997;6
1999;2
2000;1
2004;4
2014;10
2015;1
2016;1
2019;3
2020;1
2023;3
2024;1
2028;4
2029;1
2032;3
2033;1
2036;3
2037;1
2038;1
2039;1
2040;1
2041;1
2042;1
2043;1
2044;1
2045;1
2046;1
2047;1
2048;1
2049;1
2051;2
2052;1
2053;1
2054;1
2055;1
2056;1
2057;1
2058;1
2059;1
2061;2
2087;0
2089;2
2092;3
2094;2
2095;1
2099;4
2100;1
2101;1
2113;12
2115;2
2121;6
2125;4
2129;4
2130;1
2132;2
2136;4
2137;1
2140;3
2142;2
2152;10
2153;1
2154;1
2155;1
2156;1
2158;2
2159;1
2162;3
2163;1
2164;1
2165;1
2166;1
2167;1
2168;1
2169;1
2170;1
2171;1
2172;1
2173;1
2182;9
2183;1
2185;2
2186;1
2187;1
2188;1
2189;1
2190;1
2191;1
2192;1
2193;1
2198;5
2200;2
2201;1
2202;1
2203;1
2204;1
2205;1
2206;1
2207;1
2208;1
2209;1
2211;2
2212;1
2213;1
2214;1
2215;1
2218;3
2219;1
2220;1
2221;1
2223;2
2224;1
2226;2
2227;1
2228;1
2229;1
2230;1
2235;5
2243;0
2244;1
2247;3
2248;1
2249;1
2250;1
2251;1
2252;1
2253;1
2254;1
2255;1
2265;10
2304;39
2315;11
2330;15
2331;1
2332;1
2344;12
2346;2
2347;1
2353;6
2354;1
2355;1
2365;10
2366;1
2367;1
2371;4
2373;2
2389;16
2394;5
2399;5
2405;6
2407;2
2408;1
2415;7
2416;1
2434;18
2435;1
2436;1
2455;19
2457;2
2463;0
2464;1
2465;1
2467;2
2468;1
2478;10
2479;1
2480;1
2481;1
2482;1
2483;1
2484;1
2485;1
2486;1
2487;1
2488;1
2489;1
2490;1
2491;1
2492;1
2493;1
2494;1
2497;3
2498;1
2499;1
2500;1
2501;1
2505;4
2506;1
2507;1
2513;6
2514;1
2515;1
2516;1
2517;1
2518;1
2522;4
2526;4
2529;3
2530;1
2531;1
2532;1
2533;1
2535;2
2537;2
2539;2
2540;1
2542;2
2543;1
2544;1
2545;1
2546;1
2547;1
2551;4
2553;2
2554;1
2557;3
2559;2
2561;2
2563;2
2564;1
2565;1
2567;2
2568;1
2569;1
2570;1
2571;1
2572;1
2573;1
2574;1
2575;1
2576;1
2577;1
2578;1
2579;1
2586;7
2587;1
2588;1
2590;2
2591;1
2592;1
2593;1
2595;2
2596;1
2597;1
2598;1
2599;1
2602;3
2603;1
2604;1
2605;1
2606;1
2633;0
