Occurrence;From;To;Sentiment;Index;Context
" Little tyke , " chortled Mr. Dursley as he left the house .;Dursley;;-0.09375;20;0
" The Potters , that 's right , that 's what I heard - ";Dursley;;0.285714285714;56;1
" - yes , their son , Harry - ";Dursley;;0.0;57;1
" Sorry , " he grunted , as the tiny old man stumbled and almost fell .;Dursley;;-0.133333333333;72;2
On the contrary , his face split into a wide smile and he said in a squeaky voice that made passersby stare , " Do n't be sorry , my dear sir , for nothing could upset me today ! Rejoice , for You-Know-Who has gone at last ! Even Muggles like yourself should be celebrating , this happy , happy day ! ";Dursley;You-Know-Who,;0.260416666667;75;2
" Shoo ! ";Dursley;;0.0;85;3
She told him over dinner all about Mrs. Next Door 's problems with her daughter and how Dudley had learned a new word ( " Wo n't ! " ) .;Dudley;Dursley,;0.0852272727273;94;4
" And finally , bird-watchers everywhere have reported that the nation 's owls have been behaving very unusually today . Although owls normally hunt at night and are hardly ever seen in daylight , there have been hundreds of sightings of these birds flying in every direction since sunrise . Experts are unable to explain why the owls have suddenly changed their sleeping pattern . ";Dudley;Dursley,;-0.15;97;4
The newscaster allowed himself a grin . " Most mysterious . And now , over to Jim McGuffin with the weather . Going to be any more showers of owls tonight , Jim ? ";Dudley;Dursley,;0.333333333333;98;4
" Well , Ted , " said the weatherman , " I do n't know about that , but it 's not only the owls that have been acting oddly today . Viewers as far apart as Kent , Yorkshire , and Dundee have been phoning in to tell me that instead of the rain I promised yesterday , they 've had a downpour of shooting stars ! Perhaps people have been celebrating Bonfire Night early - it 's not until next week , folks ! But I can promise a wet night tonight . ";Dursley;Dundee,Night,;0.0302083333333;99;4
He cleared his throat nervously . " Er - Petunia , dear - you have n't heard from your sister lately , have you ? ";Dursley;Mrs.,;0.0;108;5
" No , " she said sharply . " Why ? ";Dursley;Mrs.,;0.0;111;5
" Funny stuff on the news , " Mr. Dursley mumbled . " Owls...shooting stars...and there were a lot of funny-looking people in town today ... ";Dursley;Mrs.,;0.25;112;5
" So ? ";Dursley;Mrs.,;0.0;113;5
" Well , I just thought...maybe...it was something to do with...you know...her crowd . ";Dursley;Mrs.,;0.0;115;5
Mr. Dursley wondered whether he dared tell her he'd heard the name " Potter . ";Dursley;Mrs.,;0.0;117;5
Instead he said , as casually as he could , " Their son - he'd be about Dudley 's age now , would n't he ? ";Dursley;Mrs.,;0.0;119;5
" I suppose so , " said Mrs. Dursley stiffly .;Mrs.;Dursley,;0.0;120;5
" What 's his name again ? Howard , is n't it ? ";Dursley;Mrs.,;0.0;121;5
" Harry . Nasty , common name , if you ask me . ";Dursley;Mrs.,;-0.65;122;5
" Oh , yes , " said Mr. Dursley , his heart sinking horribly . " Yes , I quite agree . ";Dursley;Mrs.,;0.0;123;5
He chuckled and muttered , " I should have known . ";Dumbledore;;0.0;151;6
" Fancy seeing you here , Professor McGonagall . ";Dumbledore;Fancy,;0.0;161;7
" How did you know it was me ? ";Professor;Dumbledore,Dursley,gently,McGonagall,Voldemort,calmly,Hagrid,Dudley,;0.0;167;7
" My dear Professor , I 've never seen a cat sit so stiffly . ";Dumbledore;Professor,Dursley,gently,McGonagall,Voldemort,calmly,Hagrid,Dudley,;0.0;169;7
" You'd be stiff if you'd been sitting on a brick wall all day , " said Professor McGonagall .;Professor;You'd,;-0.214285714286;170;7
" All day ? When you could have been celebrating ? I must have passed a dozen feasts and parties on my way here . ";Dumbledore;Professor,Dursley,gently,McGonagall,Voldemort,calmly,Hagrid,Dudley,;0.0;171;7
" Oh yes , I 've celebrating , all right , " she said impatiently . " You'd think they'd be a bit more careful , but no - even the Muggles have noticed something 's going on . It was on their news . ";Professor;You'd,;0.228571428571;173;7
She jerked her head back at the Dursleys ' dark living-room window . " I heard it . Flocks of owls...shooting stars...Well , they 're not completely stupid . They were bound to notice something . Shooting stars down in Kent - I 'll bet that was Dedalus Diggle . He never had much sense . ";Dursley;Diggle,;-0.201111111111;174;7
" You ca n't blame them , " said Dumbledore gently . " We 've had precious little to celebrate for eleven years . ";gently;Dumbledore,Professor,Dursley,McGonagall,Voldemort,calmly,Hagrid,Dudley,;0.15625;175;7
" I know that , " said Professor McGonagall irritably . " But that 's no reason to lose our heads . People are being downright careless , out on the streets in broad daylight , not even dressed in Muggle clothes , swapping rumors . ";Professor;Dumbledore,Dursley,gently,McGonagall,Voldemort,calmly,Hagrid,Dudley,;-0.21875;176;7
She threw a sharp , sideways glance at Dumbledore here , as though hoping he was going to tell her something , but he did n't , so she went on . " A fine thing it would be if , on the very day You-Know-Who seems to have disappeared at last , the Muggles found out about us all . I suppose he really has gone , Dumbledore ? ";Dumbledore;You-Know-Who,;0.0983333333333;177;7
" It certainly seems so , " said Dumbledore . " We have much to be thankful for . Would you care for a lemon drop ? ";Dumbledore;Professor,Dursley,gently,McGonagall,Voldemort,calmly,Hagrid,Dudley,;0.1;178;7
" A what ? ";Professor;Dumbledore,Dursley,gently,McGonagall,Voldemort,calmly,Hagrid,Dudley,;0.0;179;7
" A lemon drop . They 're a kind of Muggle sweet I 'm rather fond of . ";Dumbledore;Professor,Dursley,gently,McGonagall,Voldemort,calmly,Hagrid,Dudley,;0.475;180;7
" No , thank you , " said Professor McGonagall coldly , as though she did n't think this was the moment for lemon drops . " As I say , even if You-Know-Who has gone - ";McGonagall;You-Know-Who,;0.0;181;7
" My dear Professor , surely a sensible person like yourself can call him by his name ? All this ' You-Know-Who ' nonsense - for eleven years I have been trying to persuade people to call him by his proper name : Voldemort . ";Dumbledore;You-Know-Who,;0.0;182;7
Professor McGonagall flinched , but Dumbledore , who was unsticking two lemon drops , seemed not to notice . " It all gets so confusing if we keep saying ' You-Know-Who . ' I have never seen any reason to be frightened of saying Voldemort 's name . ";Professor;Voldemort,;-0.3;183;7
" I know you have n't , said Professor McGonagall , sounding half exasperated , half admiring . ";Dumbledore;Professor,;-0.166666666667;184;7
Everyone knows you 're the only one You-Know - oh , all right , Voldemort , was frightened of . ";Voldemort;Dumbledore,Professor,Dursley,gently,McGonagall,calmly,Hagrid,Dudley,;0.142857142857;186;7
" You flatter me , " said Dumbledore calmly . " Voldemort had powers I will never have . ";calmly;Voldemort,;0.0;187;7
" Only because you 're too - well - noble to use them . ";Dumbledore;Professor,Dursley,gently,McGonagall,Voldemort,calmly,Hagrid,Dudley,;0.3;188;7
" It 's lucky it 's dark . I have n't blushed so much since Madam Pomfrey told me she liked my new earmuffs . ";Hagrid;Pomfrey,;0.203939393939;189;7
Professor McGonagall shot a sharp look at Dumbledore and said " The owls are nothing next to the rumors that are flying around . You know what they 're saying ? About why he 's disappeared ? About what finally stopped him ? ";Professor;Dumbledore,Dursley,gently,McGonagall,Voldemort,calmly,Hagrid,Dudley,;-0.0625;190;7
It was plain that whatever " everyone " was saying , she was not going to believe it until Dumbledore told her it was true .;Dumbledore;Professor,Dursley,gently,McGonagall,Voldemort,calmly,Hagrid,Dudley,;0.0678571428571;192;7
