Dialog #;Spacing (#Lines between two lines)
20;0
56;36
57;1
72;15
75;3
85;10
94;9
97;3
98;1
99;1
108;9
111;3
112;1
113;1
115;2
117;2
119;2
120;1
121;1
122;1
123;1
151;28
161;10
167;6
169;2
170;1
171;1
173;2
174;1
175;1
176;1
177;1
178;1
179;1
180;1
181;1
182;1
183;1
184;1
186;2
187;1
188;1
189;1
190;1
192;2
194;2
197;3
198;1
200;2
202;2
203;1
204;1
205;1
210;5
211;1
212;1
213;1
214;1
215;1
216;1
217;1
218;1
219;1
220;1
222;2
223;1
224;1
225;1
232;7
233;1
234;1
235;1
239;4
241;2
242;1
243;1
245;2
249;4
250;1
251;1
252;1
255;3
256;1
258;2
264;6
268;4
281;0
284;3
292;8
294;2
295;1
297;2
299;2
316;17
319;3
330;11
331;1
332;1
334;2
337;3
338;1
339;1
341;2
345;4
352;7
355;3
356;1
358;2
359;1
360;1
362;2
364;2
365;1
366;1
369;3
371;2
372;1
374;2
381;7
382;1
386;4
402;16
403;1
405;2
407;2
425;18
427;2
429;2
443;14
444;1
446;2
451;5
452;1
453;1
455;2
461;6
463;2
467;4
470;3
508;0
509;1
527;18
530;3
532;2
533;1
539;6
540;1
541;1
542;1
543;1
560;0
561;1
566;5
567;1
568;1
570;2
572;2
577;5
583;6
587;4
588;1
589;1
591;2
593;2
595;2
598;3
599;1
600;1
602;2
603;1
604;1
607;0
608;1
609;1
610;1
611;1
614;3
615;1
617;2
618;1
626;8
638;0
642;4
655;0
662;7
665;3
666;1
667;1
673;0
678;0
682;4
686;4
690;4
698;8
709;0
719;0
721;2
726;5
732;6
740;8
741;1
746;5
747;1
749;2
757;8
794;0
798;4
799;1
810;11
812;2
814;2
817;3
819;2
820;1
821;1
823;2
828;5
830;2
832;2
833;1
840;7
842;2
844;2
846;2
847;1
849;2
850;1
851;1
852;1
854;2
855;1
859;4
862;3
863;1
864;1
866;2
868;2
870;2
871;1
872;1
874;2
877;3
878;1
880;2
881;1
883;2
886;3
889;3
891;2
913;0
914;1
927;0
929;2
931;2
932;1
934;2
935;1
936;1
937;1
938;1
939;1
942;3
944;2
945;1
946;1
947;1
951;4
953;2
954;1
955;1
956;1
957;1
958;1
960;2
962;2
963;1
964;1
965;1
967;2
968;1
972;4
973;1
977;4
979;2
981;2
983;2
984;1
985;1
986;1
993;7
995;2
1000;5
1001;1
1003;2
1004;1
1005;1
1006;1
1009;3
1015;6
1017;2
1018;1
1020;2
1021;1
1022;1
1024;2
1032;0
1034;2
1042;8
1049;7
1051;2
1052;1
1053;1
1054;1
1055;1
1057;2
1058;1
1059;1
1063;4
1066;3
1067;1
1069;2
1070;1
1071;1
1072;1
1073;1
1074;1
1076;2
1077;1
1078;1
1079;1
1083;4
1085;2
1086;1
1087;1
1089;2
1090;1
1092;2
1094;2
1097;3
1098;1
1100;2
1101;1
1102;1
1103;1
1104;1
1109;5
1110;1
1111;1
1112;1
1113;1
1116;3
1119;3
1122;3
1159;0
1161;2
1166;0
1174;8
1186;12
1187;1
1188;1
1190;2
1192;2
1198;6
1199;1
1200;1
1201;1
1202;1
1203;1
1204;1
1205;1
1209;4
1210;1
1211;1
1212;1
1213;1
1214;1
1219;5
1222;3
1223;1
1224;1
1229;5
1230;1
1233;3
1239;6
1242;3
1244;2
1245;1
1248;3
1262;0
1267;5
1268;1
1269;1
1272;3
1274;2
1275;1
1277;2
1280;3
1282;2
1294;12
1295;1
1302;7
1308;6
1309;1
1310;1
1315;5
1317;2
1318;1
1320;2
1325;5
1330;0
1333;3
1334;1
1337;3
1338;1
1339;1
1340;1
1342;2
1344;2
1345;1
1346;1
1347;1
