Name 1;Name 2
Petunias;Petunia
Malfoys;Malfoy
Award;Awards
Voldemort;Vol
Weasleys;Weasley
Harry."You;Harry
Mudbloods;Mudblood
Galleon;Galleons
Bludger;Bludgers
Muggle-borns;Muggle
Muggle-borns;Muggle-born
Open;Opened....What
Wonder;wonderingly
Star;Wet-Start
Star;Stars
Parselmouth;Parselmouths
Granger;Grangers
Granger;Gran
Dippet;Dippetto
Gryffindor;Gryffindors
Myrtle....Come;Myrtle
furiously;Furious
Dobby'd;Dobby
House-elves;House
Dobby;Dobby...please
Dobby;Dobby...Dobby
Slytherins;Slytherin
Shrivelfig;Shrivelfigs
Hogwart;Hogwarts
Car;Care
Masons;Mason
Arts;Arts.
Muggle-made;Muggle
Dursleys;Dursley
Hall;Halloween
Muggle-baiting;Muggle
Quick;quickly
Lockhart;Lockharts
Grant;Gran
Mandrakes;Mandrake
Hufflepuffs;Hufflepuff
Muggle;Muggle-born
Muggle;Muggles
Fawkes;Fawke
Grangers;Gran
Pipes;Pipes...Ron
Albus;Albus...surely...who
B-Bill;Bill
Prefect;Prefects
house-elf;House
Dumbledore...Riddle;Dumbledore
Mason;Mason....Do
Ron;Pipes...Ron
Ginny...and;Ginny
