Context;Context clustering coefficient
0;0.766666666667
1;0.714285714286
2;0.333333333333
3;0.0
4;0.478653198653
5;0.0
6;N/A
7;0.0
8;0.27956043956
9;0.0
10;0.363095238095
11;0.6
12;0.304232804233
13;0.557359307359
14;0.583333333333
15;0.519230769231
16;0.244444444444
17;0.583333333333
18;1.0
19;0.8
20;0.629166666667
21;0.383333333333
22;0.25
23;0.396258503401
24;1.0
25;0.630622009569
26;0.48780313254
27;0.0
28;0.333333333333
29;N/A
30;0.25
31;0.0
32;N/A
33;0.4
34;0.0
35;N/A
36;0.7
37;0.8
38;0.0
39;1.0
40;0.539137405804
41;0.684523809524
42;0.48119047619
43;0.534225429947
44;0.248484848485
45;0.6
46;0.477777777778
47;0.583333333333
48;0.567316017316
49;0.5
50;0.391456582633
51;0.281481481481
52;0.433333333333
53;0.55
54;0.316666666667
55;0.0
56;0.25
57;0.0
58;0.0
59;0.571428571429
60;1.0
61;0.325
62;0.0
63;0.758333333333
64;0.0
65;0.281096681097
66;0.0
67;N/A
68;0.281481481481
69;0.0
70;0.583333333333
71;0.7
72;0.0
73;N/A
74;0.0
75;0.509523809524
76;0.214285714286
77;0.583333333333
78;0.766666666667
79;0.395833333333
80;0.495555555556
81;0.0
82;0.382166199813
83;1.0
84;0.583333333333
85;0.4
86;0.333333333333
87;0.0
88;1.0
89;0.573333333333
90;0.468253968254
91;N/A
92;0.2
93;0.441609977324
94;1.0
95;N/A
96;0.343055555556
97;0.0
98;N/A
99;N/A
100;0.0
101;0.34
102;0.0
103;0.552697811526
104;1.0
105;N/A
106;0.766666666667
