Name 1;Length 1;Name 2;Length 2;Mentions;Paired
hollowly;1;Harry;1824;1;True
Serpent-tongue;1;Slytherin;86;1;True
Brown;2;Miss;18;1;True
sagely;1;Ron;738;1;True
Malfoys;3;Mr.;138;1;False
finally;2;Ginny;120;1;True
finally;2;Fred;111;1;True
carelessly;1;Flint;12;1;True
dramatically;1;Myrtle;69;1;True
League;2;Defense;12;2;True
Cheese;1;Charm;11;1;True
Voldemort;31;Lord;19;13;True
I'd;25;still;7;1;False
I'd;25;never;12;3;False
I'd;25;just;5;1;False
brightly;4;Myrtle;69;1;False
brightly;4;Hermione;341;1;False
brightly;4;Ron;738;1;False
Thomas;7;Seamus;18;2;False
Thomas;7;Finnigan;8;2;False
Thomas;7;loudly;10;1;False
Thomas;7;Dean;16;6;True
accidentally;1;Ginny;120;1;True
blankly;1;Mr.;138;1;True
blankly;1;Weasley;176;1;True
Defense;12;League;2;2;True
Petunia;30;Vernon;44;1;False
Petunia;30;rapturously;1;1;True
Petunia;30;promptly;1;1;True
George;99;Harry;1824;1;False
George;99;angrily;8;1;False
George;99;Weasley;176;7;False
George;99;together;4;1;False
George;99;Fred;111;29;False
curtly;1;Professor;192;1;True
curtly;1;McGonagall;99;1;True
Weasley;176;Percy;72;7;False
Weasley;176;Ron;738;2;False
Weasley;176;Ginny;120;13;False
Weasley;176;Act;3;1;False
Weasley;176;Potter;123;1;False
Weasley;176;Arthur;16;6;True
Weasley;176;eagerly;8;2;False
Weasley;176;Fred;111;9;False
Weasley;176;blankly;1;1;True
Weasley;176;Mr.;138;50;True
Weasley;176;nearly;2;1;True
Weasley;176;sharply;10;2;False
Weasley;176;Granger;23;3;False
Weasley;176;indignantly;1;1;True
Weasley;176;Miss;18;2;False
Weasley;176;now;7;1;False
Weasley;176;delightedly;2;1;True
Weasley;176;George;99;7;False
Weasley;176;apart;1;1;True
Bulstrode;7;Millicent;9;6;True
Bulstrode;7;Miss;18;1;False
crisply;1;Professor;192;1;True
crisply;1;McGonagall;99;1;True
Goyle;46;obviously;2;1;True
Goyle;46;Crabbe;37;11;False
Head;6;Polo;1;1;True
Head;6;Boys;2;1;True
Head;6;still;7;1;False
tensely;2;Ron;738;2;True
Gilderoy;39;Lockhart;236;34;True
Boys;2;Head;6;1;True
lazily;2;Snape;108;1;True
lazily;2;Malfoy;222;1;True
reverently;1;Dobby;135;1;True
ever;4;Hogwarts;80;1;False
ever;4;Gryffindor;63;1;False
ever;4;Muggle;11;1;False
ever;4;Tower;11;1;False
ever;4;Slytherin;86;1;False
Neville;31;Longbottom;10;9;True
Professor;192;McGonagall;99;83;True
Professor;192;crisply;1;1;True
Professor;192;curtly;1;1;True
Professor;192;heavily;3;1;False
Professor;192;Dippet;7;2;False
Professor;192;Dumbledore;166;13;False
Professor;192;back;14;2;False
Professor;192;eagerly;8;1;False
Professor;192;obviously;2;1;True
Professor;192;sometimes;1;1;True
Professor;192;alone;3;1;False
Professor;192;Dumbledore...Riddle;1;1;True
Professor;192;Binns;20;19;True
Professor;192;Snape;108;8;False
Professor;192;Sinistra;1;2;True
Professor;192;sharply;10;2;False
Professor;192;squarely;1;1;True
Professor;192;slowly;8;1;False
Professor;192;Flitwick;9;6;True
Professor;192;weakly;7;1;False
Professor;192;Lockhart;236;10;False
never;12;Pomfrey;29;1;False
never;12;Hagrid;171;1;False
never;12;You'd;7;1;False
never;12;He'd;8;1;False
never;12;I'd;25;3;False
never;12;Bludgers;5;2;True
never;12;Dobby;135;2;False
never;12;Harry;1824;1;False
here;3;Harry;1824;3;True
Arthur;16;Weasley;176;6;True
Arthur;16;Act;3;1;False
Championship;2;House;13;2;True
wearily;1;Harry;1824;1;True
quite;1;Harry;1824;1;True
Bludger;43;other;6;1;False
Bludger;43;back;14;2;False
Hagrid;171;furiously;3;1;False
Hagrid;171;happily;5;1;False
Hagrid;171;grimly;3;1;False
Hagrid;171;Dumbledore;166;2;False
Hagrid;171;proudly;2;1;True
Hagrid;171;gruffly;2;1;True
Hagrid;171;loudly;10;1;False
Hagrid;171;Alley;17;1;False
Hagrid;171;never;12;1;False
Hagrid;171;away;3;1;False
Hagrid;171;still;7;1;False
Hagrid;171;urgently;4;1;False
Hagrid;171;abruptly;3;1;False
Burkes;3;Borgin;20;3;True
impatiently;5;Malfoy;222;1;False
impatiently;5;Hermione;341;1;False
impatiently;5;Ron;738;3;True
Miss;18;Brown;2;1;True
Miss;18;Pennyfeather;1;1;True
Miss;18;Grant;1;1;True
Miss;18;Weasley;176;2;False
Miss;18;Bulstrode;7;1;False
Miss;18;Granger;23;10;True
Miss;18;Fawcett;1;1;True
Percy;72;sternly;2;2;True
Percy;72;loudly;10;1;False
Percy;72;fiercely;4;1;False
Percy;72;briskly;4;1;False
Percy;72;Weasley;176;7;False
usually;1;Draco;37;1;True
usually;1;Malfoy;222;1;True
Pomfrey;29;wonderingly;2;1;True
Pomfrey;29;grimly;3;1;False
Pomfrey;29;never;12;1;False
Pomfrey;29;Hermione;341;1;False
suddenly;13;Fang;35;1;False
suddenly;13;Hermione;341;1;False
suddenly;13;Dobby;135;1;False
suddenly;13;Ron;738;3;False
suddenly;13;Harry;1824;7;True
angrily;8;Alicia;5;1;False
angrily;8;George;99;1;False
angrily;8;Ron;738;2;False
angrily;8;Harry;1824;4;True
testily;1;Wood;44;1;True
Nick;49;stiffly;1;1;True
Nick;49;Justin;44;4;False
Nick;49;proudly;2;1;True
Nick;49;eagerly;8;1;False
Nick;49;quickly;16;1;False
Nick;49;loudly;10;1;False
Nick;49;excitedly;4;1;False
Nick;49;bitterly;1;1;True
Nick;49;now;7;1;False
Nick;49;darkly;3;1;False
fearfully;1;Harry;1824;1;True
privately;1;Harry;1824;1;True
Spinnet;2;Alicia;5;2;True
Tom;12;Dear;8;3;True
Express;8;Hogwarts;80;8;True
forcefully;2;Vernon;44;1;True
forcefully;2;Harry;1824;1;True
Vernon;44;Dursley;4;1;False
Vernon;44;viciously;1;1;True
Vernon;44;forcefully;2;1;True
Vernon;44;Dudley;40;1;False
Vernon;44;Harry;1824;2;False
Vernon;44;heartily;2;1;True
Vernon;44;Petunia;30;1;False
Vernon;44;nastily;1;1;True
Hogwarts;80;also;2;1;True
Hogwarts;80;Express;8;8;True
Hogwarts;80;ever;4;1;False
Hogwarts;80;again;5;1;False
bitterly;1;Nick;49;1;True
grimly;3;Pomfrey;29;1;False
grimly;3;Hagrid;171;1;False
grimly;3;Harry;1824;1;False
Granger;23;Ron;738;2;False
Granger;23;Weasley;176;3;False
Granger;23;Mr.;138;4;False
Granger;23;Hermione;341;8;True
Granger;23;Mudblood;5;1;False
Granger;23;Miss;18;10;True
Wednesday;3;London;7;1;False
sharply;10;Dumbledore;166;1;False
sharply;10;Ron;738;3;False
sharply;10;Professor;192;2;False
sharply;10;McGonagall;99;2;False
sharply;10;Weasley;176;2;False
sharply;10;Malfoy;222;1;False
sharply;10;Mr.;138;2;False
sharply;10;Hermione;341;1;False
distractedly;1;Harry;1824;1;True
enviously;1;Ron;738;1;True
Seamus;18;Finnigan;8;5;True
Seamus;18;Dean;16;1;False
Seamus;18;Thomas;7;2;False
Snape;108;again;5;1;False
Snape;108;Professor;192;8;False
Snape;108;McGonagall;99;2;False
