Occurrence;From;To;Sentiment;Index;Context
" Third time this week ! ";;Third,this week,;0.0;6;0
he roared across the table . " If you ca n't control that owl , it 'll have to go ! ";he,;you,it,that owl,;0.0;7;0
" She 's bored , " he said . " She 's used to flying around outside . If I could just let her out at night - ";he,;She,She,I,her,;-0.25;9;0
" Do I look stupid ? ";;I,I,;-0.8;10;0
snarled Uncle Vernon , a bit of fried egg dangling from his bushy mustache . " I know what 'll happen if that owl 's let out . ";fried egg,Uncle Vernon,;I,;0.0;11;0
" I want more bacon . ";;I,more bacon,;0.5;14;0
" There 's more in the frying pan , sweetums , " said Aunt Petunia , turning misty eyes on her massive son . " We must build you up while we 've got the chance....I do n't like the sound of that school food ... ";Aunt Petunia,;We,you,while we,you,while we,;0.3;15;0
" Nonsense , Petunia , I never went hungry when I was at Smeltings , " said Uncle Vernon heartily . " Dudley gets enough , do n't you , son ? ";Uncle Vernon heartily,;I,I,Dudley,;0.0;16;0
" Pass the frying pan . ";;;0.0;18;0
" You 've forgotten the magic word , " said Harry irritably .;Harry irritably,;You,the magic word,;0.5;19;0
" I meant ' please ' ! ";;I,;0.0;21;0
said Harry quickly . " I did n't mean - ";Harry quickly,;I,;-0.3125;22;0
" WHAT HAVE I TOLD YOU , " thundered his uncle , spraying spit over the table , " ABOUT SAYING THE ' M ' WORD IN OUR HOUSE ? ";;I,I,YOU,M,;0.0;23;0
" But I - ";;;0.0;24;0
" HOW DARE YOU THREATEN DUDLEY ! ";;YOU,YOU,DUDLEY,;0.0;25;0
" I just - ";;;0.0;27;0
" I WARNED YOU ! I WILL NOT TOLERATE MENTION OF YOUR ABNORMALITY UNDER THIS ROOF ! ";;I,I,YOU,MENTION,;0.0;28;0
" All right , " said Harry , " all right ... ";Harry,;;0.285714285714;30;0
At that moment , Uncle Vernon cleared his throat importantly and said , " Now , as we all know , today is a very important day . ";Uncle Vernon,;today,a very important day,;0.52;57;1
" This could well be the day I make the biggest deal of my career , " said Uncle Vernon .;Uncle Vernon,;the day I,the day I,the biggest deal,;0.0;59;1
" I think we should run through the schedule one more time , " said Uncle Vernon . " We should all be in position at eight o'clock . Petunia , you will be - ? ";Uncle Vernon,;I,we,we,We,you,in position,;0.5;64;1
" In the lounge , " said Aunt Petunia promptly , " waiting to welcome them graciously to our home . ";Aunt Petunia promptly,;them,;0.8;65;1
" Good , good . And Dudley ? ";;;0.65;66;1
" I 'll be waiting to open the door . ";;I,the door,;0.0;67;1
Dudley put on a foul , simpering smile . " May I take your coats , Mr. and Mrs. Mason ? ";Dudley,;May I,your coats,;0.3;68;1
" They 'll love him ! ";;They,him,;0.625;69;1
" Excellent , Dudley , " said Uncle Vernon .;Uncle Vernon,;;1.0;71;1
Then he rounded on Harry . " And you ? ";he,Harry,;;0.0;72;1
" I 'll be in my bedroom , making no noise and pretending I 'm not there , " said Harry tonelessly .;Harry tonelessly,;I,I,no noise,I,;0.0;73;1
" Exactly , " said Uncle Vernon nastily . " I will lead them into the lounge , introduce you , Petunia , and pour them drinks . At eight-fifteen - ";Uncle Vernon nastily,;I,them,them,them,the lounge,you,them,;0.0;74;1
" I 'll announce dinner , " said Aunt Petunia .;Aunt Petunia,;I,;0.0;75;1
" And , Dudley , you 'll say - ";;you,;0.0;76;1
" May I take you through to the dining room , Mrs. Mason ? ";;May I,you,you,;0.0;77;1
" My perfect little gentleman ! ";;;0.3828125;79;1
" And you ? ";;;0.0;81;1
" I 'll be in my room , making no noise and pretending I 'm not there , " said Harry dully .;Harry dully,;I,I,no noise,I,;0.0;83;1
" Precisely . Now , we should aim to get in a few good compliments at dinner . Petunia , any ideas ? ";;we,;0.225;84;1
" Vernon tells me you 're a wonderful golfer , Mr. Mason....Do tell me where you bought your dress , Mrs. Mason ... ";;Vernon,me you,Mr. Mason....Do,you,me you,a wonderful golfer,me,your dress,;1.0;85;1
" Perfect...Dudley ? ";;;0.0;86;1
" How about - ' We had to write an essay about our hero at school , Mr. Mason , and I wrote about you . ' ";;We,I,an essay,;0.0;87;1
" And you , boy ? ";;;0.0;90;1
" I 'll be in my room , making no noise and pretending I 'm not there , " he said .;he,;I,I,no noise,I,;0.0;92;1
" Too right , you will . ";;you,;0.285714285714;93;1
said Uncle Vernon forcefully . " The Masons do n't know anything about you and it 's going to stay that way . When dinner 's over , you take Mrs. Mason back to the lounge for coffee , Petunia , and I 'll bring the subject around to drills . With any luck , I 'll have the deal signed and sealed before the news at ten . be shopping for a vacation home in Majorca this time to morrow . ";Uncle Vernon forcefully,;The Masons,you and it,you,I,I,the deal,anything,that way,Mrs. Mason back,the subject,the deal,;-0.0555555555556;94;1
" Right - I 'm off into town to pick up the dinner jackets for Dudley and me . And you , " he snarled at Harry . " You stay out of your aunt 's way while she 's cleaning . ";he,Harry,;I,You,she,cleaning,;0.285714285714;97;1
" Happy birthday to me...happy birthday to me ... ";;;0.8;101;1
" I know what day it is , " sang Dudley , waddling toward him .;Dudley,;I,day it,;0.0;124;2
" What ? ";;;0.0;126;2
" I know what day it is , " Dudley repeated , coming right up to him .;Dudley,;I,day it,;0.285714285714;128;2
" Well done , " said Harry . " So you 've finally learned the days of the week . ";Harry,;you,the days,;0.0;129;2
" Today 's your birthday , " sneered Dudley . " How come you have n't got any cards ? Have n't you even got friends at that freak place ? ";Dudley,;you,you,you,any cards,friends,;0.0;130;2
" Better not let your mum hear you talking about my school , " said Harry coolly .;Harry coolly,;Better not,your mum hear you,your mum hear you,;0.5;131;2
" Why 're you staring at the hedge ? ";;you,you,;0.0;133;2
" I 'm trying to decide what would be the best spell to set it on fire , " said Harry .;Harry,;I,the best spell,it on fire,;1.0;135;2
" You c-ca n't - Dad told you you 're not to do m-magic - he said he 'll chuck you out of the house - and you have n't got anywhere else to go - you have n't got any friends to take you - ";;Dad,you you,he,he,you,you,you,you you,he,you,of the house,any friends,you,;0.0;137;2
" Jiggery pokery ! ";;;0.0;138;2
said Harry in a fierce voice . " Hocus pocus - squiggly wiggly - ";Harry,;;0.0;139;2
" MUUUUUUM ! ";;;0.0;140;2
howled Dudley , tripping over his feet as he dashed back toward the house . " MUUUUM ! He 's doing you know what ! ";he,Dudley,;He,you,you,;0.0;141;2
" Get in here ! And walk on the newspaper ! ";;;0.0;150;3
" Eat quickly ! The Masons will be here soon ! ";;The Masons,;0.0;154;3
The moment he had finished , Aunt Petunia whisked away his plate . " Upstairs ! Hurry ! ";The moment he,Aunt Petunia,;;0.0;158;3
" Remember , boy - one sound - ";;;0.4;161;3
" May I take your coats , Mr. and Mrs. Mason ? ";;May I,your coats,;0.0;173;4
" Er - hello , " said Harry nervously .;Harry nervously,;;0.0;176;4
" Harry Potter ! ";;;0.0;177;4
said the creature in a high-pitched voice Harry was sure would carry down the stairs . " So long has Dobby wanted to meet you , sir...Such an honor it is ... ";a high-pitched voice Harry,sure,;long has Dobby,sir...Such an honor it,you,;0.0981481481481;178;4
" Th-thank you , " said Harry , edging along the wall and sinking into his desk chair , next to Hedwig , who was asleep in her large cage .;Harry,Hedwig,;;0.107142857143;179;4
He wanted to ask , " What are you ? ";He,;you,;0.0;180;4
but thought it would sound too rude , so instead he said , " Who are you ? ";it,he,;you,;0.05;181;4
" Dobby , sir . Just Dobby . Dobby the house-elf , " said the creature .;;;0.0;182;4
" Oh - really ? ";;;0.0;183;4
said Harry . " Er - I do n't want to be rude or anything , but - this is n't a great time for me to have a house-elf in my bedroom . ";Harry,;I,rude or anything,a house-elf,;0.25;184;4
" Not that I 'm not pleased to meet you , " said Harry quickly , " but , er , is there any particular reason you 're here ? ";Harry quickly,;I,you,any particular reason you,;0.333333333333;187;4
" Oh , yes , sir , " said Dobby earnestly . " Dobby has come to tell you , sir...it is difficult , sir...Dobby wonders where to begin ... ";Dobby earnestly,;Dobby,you,;-0.5;188;4
" Sit down , " said Harry politely , pointing at the bed .;Harry politely,;;-0.155555555556;189;4
" S-sit down ! ";;;-0.194444444444;191;4
he wailed . " Never ...never ever ... ";he,;;0.0;192;4
" I 'm sorry , " he whispered , " I did n't mean to offend you or anything - ";he,;I,I,you or anything,;-0.40625;194;4
" Offend Dobby ! ";;Dobby,;0.0;195;4
choked the elf . " Dobby has never been asked to sit down by a wizard - like an equal - ";;Dobby,;-0.0777777777778;196;4
Harry , trying to say " Shh ! ";Harry,;;0.0;197;4
