Node 1;Node 2;Weight;Mentions
Penelope;Percy;0.4375;1
Gryffindor;Ron;0.2;5
Gryffindor;Lupin;0.166666666667;6
Gryffindor;Dementors;0.0;1
Gryffindor;Percy;0.25;4
Gryffindor;Harry;0.162946428571;12
Gryffindor;George;0.125;5
Ron;Percy;0.0;1
Ron;Gryffindor;0.2;5
Ron;Lupin;0.0;3
Ron;George;-0.1875;2
Ron;Harry;0.106150793651;9
Lupin;Percy;0.0;2
Lupin;Gryffindor;0.166666666667;6
Lupin;George;-0.125;3
Lupin;Ron;0.0;3
Lupin;Harry;0.0955357142857;10
Dementors;Gryffindor;0.0;1
Percy;Gryffindor;0.25;4
Percy;Ron;0.0;1
Percy;Lupin;0.0;2
Percy;Penelope;0.4375;1
Percy;Harry;0.119419642857;8
Percy;George;-0.375;1
Harry;Percy;0.119419642857;8
Harry;Gryffindor;0.162946428571;12
Harry;Lupin;0.0955357142857;10
Harry;George;0.0644841269841;9
Harry;Ron;0.106150793651;9
George;Percy;-0.375;1
George;Gryffindor;0.125;5
George;Lupin;-0.125;3
George;Ron;-0.1875;2
George;Harry;0.0644841269841;9
