Dialog #;Spacing (#Lines between two lines)
15;0
17;2
20;3
27;7
29;2
32;3
37;5
39;2
45;6
48;3
49;1
50;1
51;1
52;1
53;1
54;1
55;1
71;16
72;1
74;2
75;1
77;2
94;17
97;3
98;1
99;1
100;1
102;2
106;4
107;1
108;1
109;1
110;1
111;1
112;1
113;1
114;1
115;1
116;1
117;1
129;12
130;1
131;1
132;1
133;1
134;1
143;9
146;3
147;1
150;3
151;1
152;1
159;7
161;2
162;1
164;2
166;2
167;1
168;1
169;1
170;1
172;2
173;1
174;1
192;18
195;3
200;5
201;1
202;1
203;1
205;2
207;2
211;4
213;2
214;1
216;2
218;2
223;5
227;4
228;1
231;3
232;1
233;1
235;2
236;1
240;4
243;3
244;1
246;2
247;1
248;1
249;1
250;1
256;6
263;0
265;2
279;14
280;1
286;6
287;1
291;4
292;1
293;1
296;3
299;3
307;8
312;5
313;1
316;3
317;1
318;1
319;1
320;1
321;1
323;2
324;1
325;1
328;3
331;3
332;1
338;6
340;2
341;1
342;1
343;1
345;2
346;1
355;9
356;1
357;1
361;4
362;1
363;1
367;4
368;1
369;1
371;2
377;6
378;1
379;1
384;5
385;1
386;1
387;1
389;2
390;1
393;3
394;1
396;2
397;1
398;1
399;1
404;5
405;1
406;1
407;1
408;1
409;1
411;2
412;1
414;2
415;1
417;2
419;2
420;1
422;2
423;1
425;2
435;0
436;1
437;1
439;2
440;1
442;2
443;1
446;3
447;1
448;1
449;1
450;1
451;1
455;4
456;1
457;1
466;0
468;2
469;1
470;1
471;1
472;1
473;1
474;1
475;1
476;1
484;8
485;1
486;1
487;1
488;1
489;1
490;1
491;1
492;1
494;2
495;1
496;1
497;1
498;1
499;1
560;0
561;1
562;1
565;3
566;1
567;1
568;1
569;1
571;2
572;1
573;1
574;1
575;1
576;1
577;1
578;1
581;3
582;1
583;1
584;1
585;1
586;1
587;1
588;1
589;1
590;1
591;1
593;2
595;2
596;1
597;1
598;1
599;1
602;3
603;1
649;0
654;5
655;1
656;1
657;1
658;1
659;1
660;1
661;1
662;1
678;0
681;3
710;0
711;1
712;1
716;0
719;3
720;1
721;1
722;1
723;1
724;1
725;1
726;1
739;13
741;2
758;0
760;2
774;0
776;2
777;1
781;4
784;3
785;1
788;3
789;1
792;3
793;1
795;2
796;1
803;7
814;11
815;1
819;4
820;1
821;1
822;1
825;3
826;1
827;1
828;1
829;1
830;1
831;1
832;1
835;3
836;1
837;1
838;1
839;1
840;1
841;1
842;1
843;1
844;1
845;1
846;1
848;2
849;1
850;1
851;1
852;1
868;0
872;4
875;3
876;1
877;1
880;3
881;1
882;1
883;1
885;2
889;4
890;1
891;1
899;8
901;2
902;1
903;1
905;2
906;1
907;1
908;1
909;1
910;1
911;1
912;1
914;2
915;1
917;2
919;2
920;1
921;1
923;2
926;3
927;1
928;1
936;8
937;1
938;1
941;3
942;1
945;3
946;1
948;2
949;1
950;1
951;1
955;4
957;2
958;1
959;1
960;1
961;1
962;1
963;1
964;1
966;2
967;1
968;1
969;1
970;1
973;3
980;7
981;1
983;2
985;2
987;2
988;1
990;2
993;3
994;1
995;1
996;1
1014;18
1016;2
1017;1
1018;1
1019;1
1020;1
1021;1
1022;1
1023;1
1024;1
1025;1
1026;1
1028;2
1034;6
1037;3
1040;3
1041;1
1042;1
1043;1
1044;1
1046;2
1048;2
1050;2
1054;4
1055;1
1059;4
1063;4
1064;1
1073;0
1074;1
1080;6
1083;3
1084;1
1088;4
1089;1
1090;1
1092;2
1093;1
1096;3
1097;1
1099;2
1103;4
1110;7
1111;1
1112;1
1113;1
1116;3
1119;3
1120;1
1121;1
1122;1
1123;1
1124;1
1125;1
1129;4
1132;3
1133;1
1134;1
1135;1
1136;1
1140;4
1144;4
1145;1
1147;2
1148;1
1149;1
1150;1
1151;1
1153;2
1154;1
1155;1
1156;1
1157;1
1158;1
1159;1
1160;1
1161;1
1166;0
1169;3
1171;2
1179;8
1181;2
1183;2
1184;1
1188;4
1190;2
1191;1
1192;1
1196;4
1197;1
1200;3
1201;1
1204;3
1206;2
1207;1
1231;0
1244;13
1245;1
1247;2
1249;2
1250;1
1251;1
1275;24
1278;3
1280;2
1286;6
1291;5
1292;1
1296;4
1298;2
1299;1
1300;1
1302;2
1304;2
1305;1
1306;1
1322;0
1327;5
1330;3
1332;2
1333;1
1334;1
1335;1
1337;2
1338;1
1339;1
1340;1
1341;1
1342;1
1343;1
1356;0
1358;2
1361;3
1362;1
1363;1
1373;10
1376;3
1377;1
1378;1
1381;3
1387;6
1389;2
1390;1
1393;3
1396;3
1397;1
1398;1
1403;5
1404;1
1410;6
1412;2
1413;1
1415;2
1416;1
1418;2
1419;1
1420;1
1426;6
1427;1
1429;2
1430;1
1431;1
1434;3
1435;1
1436;1
1439;3
1440;1
1442;2
1443;1
1446;3
1447;1
1448;1
1449;1
1450;1
1454;4
1455;1
1456;1
1457;1
1458;1
1459;1
1460;1
1462;2
1463;1
1464;1
1465;1
1466;1
1467;1
1468;1
1471;3
1478;7
1480;2
1481;1
1482;1
1487;5
1491;4
1494;3
1502;8
1506;4
1509;3
1510;1
1511;1
1512;1
1513;1
1514;1
1516;2
1519;3
1520;1
1521;1
1522;1
1523;1
1524;1
1526;2
1527;1
1528;1
1529;1
1530;1
1531;1
1532;1
1533;1
1534;1
1539;5
1540;1
1543;3
1544;1
1546;2
1553;7
1554;1
1555;1
1556;1
1557;1
1558;1
1559;1
1560;1
1561;1
1562;1
1563;1
1564;1
1568;4
1570;2
1572;2
1573;1
1576;3
1580;4
1590;10
1620;0
1621;1
1622;1
1625;3
1626;1
1634;8
1636;2
1637;1
1639;2
1640;1
1641;1
1642;1
1643;1
1644;1
1645;1
1646;1
1647;1
1648;1
1649;1
1652;3
1661;9
1663;2
1664;1
1665;1
1673;8
1678;5
1682;4
1692;10
1697;5
1698;1
1701;3
1702;1
1703;1
1708;5
1710;2
1714;4
1718;4
1719;1
1720;1
1721;1
1725;4
1728;3
1731;3
1746;0
1747;1
1748;1
1750;2
1752;2
1753;1
1758;5
1759;1
1762;3
1763;1
1766;3
1769;3
1770;1
1772;2
1773;1
1774;1
1775;1
1776;1
1777;1
1779;2
1780;1
1781;1
1782;1
1783;1
1785;2
1786;1
1787;1
1788;1
1789;1
1790;1
1791;1
1792;1
1814;0
1828;14
1830;2
1832;2
1840;8
1859;19
1861;2
1862;1
1866;4
1867;1
1868;1
1870;2
1872;2
1876;4
1879;3
1880;1
1883;3
1891;8
1895;4
1896;1
1897;1
1898;1
1902;4
1908;6
1909;1
1910;1
1911;1
1912;1
1913;1
1916;3
1921;5
1922;1
1923;1
1924;1
1925;1
1927;2
1928;1
1929;1
1930;1
1934;4
1936;2
1937;1
1942;5
1946;4
1950;4
1952;2
1953;1
1955;2
1956;1
1957;1
1958;1
1959;1
1960;1
1961;1
1962;1
1963;1
1964;1
1965;1
1966;1
1967;1
1968;1
1969;1
1972;3
1977;5
1978;1
1979;1
1980;1
1982;2
1983;1
1984;1
1986;2
1990;4
1991;1
1992;1
1994;2
1996;2
1997;1
1998;1
1999;1
2000;1
2001;1
2002;1
2003;1
2004;1
2006;2
2007;1
2008;1
2009;1
2011;2
2012;1
2013;1
2014;1
2015;1
2016;1
2017;1
2018;1
2020;2
2024;4
2025;1
2026;1
2027;1
2041;0
2042;1
2044;2
2045;1
2046;1
2047;1
2048;1
2049;1
2058;9
2059;1
2076;17
2078;2
2079;1
2085;6
2086;1
2087;1
2088;1
2089;1
2092;3
2094;2
2095;1
2099;4
2100;1
2102;2
2103;1
2104;1
2105;1
2107;2
2108;1
2110;2
2114;4
2115;1
2116;1
2122;6
2123;1
2124;1
2125;1
2134;9
2137;3
2140;3
2141;1
2143;2
2146;3
2164;0
2167;3
2169;2
2170;1
2171;1
2172;1
2184;12
2185;1
2186;1
2188;2
2189;1
2190;1
2191;1
2192;1
2193;1
2194;1
2195;1
2196;1
2197;1
2199;2
2200;1
2201;1
2205;4
2208;3
2209;1
2210;1
2211;1
2213;2
2216;3
2218;2
2221;3
2223;2
2227;4
2229;2
2230;1
2231;1
2232;1
2234;2
2235;1
2241;6
2245;4
2249;4
2250;1
2251;1
2252;1
2253;1
2254;1
2255;1
2256;1
2258;2
2259;1
2269;10
2271;2
2274;3
2275;1
2292;0
2294;2
2295;1
2296;1
2297;1
2298;1
2299;1
2309;10
2311;2
2312;1
2313;1
2318;5
2319;1
2320;1
2322;2
2340;18
2343;3
2344;1
2346;2
2349;3
2356;7
2359;3
2360;1
2361;1
2362;1
2363;1
2364;1
2365;1
2366;1
2367;1
2368;1
2369;1
2370;1
2373;3
2374;1
2378;4
2379;1
2380;1
2391;11
2398;7
2399;1
2401;2
2405;4
2429;0
2430;1
2431;1
2433;2
2434;1
2435;1
2436;1
2440;4
2441;1
2443;2
2444;1
2445;1
2446;1
2452;6
2470;18
2471;1
2472;1
2473;1
2474;1
2475;1
2476;1
2477;1
2478;1
2479;1
2494;0
2504;10
2506;2
2508;2
2510;2
2511;1
2512;1
2514;2
2516;2
2520;4
2521;1
2522;1
2523;1
2524;1
2525;1
2529;4
2530;1
2534;4
2535;1
2536;1
2537;1
2538;1
